,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y1,y2,y3,y4,y5,y6
0,16.04,15.74,15.57,15.47,15.75,15.36,15.37,15.19,15.39,15.78,16.15,16.5,16.72,17.17,18.0,18.53,19.11,18.68
1,15.74,15.57,15.47,15.75,15.36,15.37,15.19,15.39,15.78,16.15,16.5,16.72,17.17,18.0,18.53,19.11,18.68,17.93
2,15.57,15.47,15.75,15.36,15.37,15.19,15.39,15.78,16.15,16.5,16.72,17.17,18.0,18.53,19.11,18.68,17.93,17.69
3,15.47,15.75,15.36,15.37,15.19,15.39,15.78,16.15,16.5,16.72,17.17,18.0,18.53,19.11,18.68,17.93,17.69,17.33
4,15.75,15.36,15.37,15.19,15.39,15.78,16.15,16.5,16.72,17.17,18.0,18.53,19.11,18.68,17.93,17.69,17.33,16.75
5,15.36,15.37,15.19,15.39,15.78,16.15,16.5,16.72,17.17,18.0,18.53,19.11,18.68,17.93,17.69,17.33,16.75,16.25
6,15.37,15.19,15.39,15.78,16.15,16.5,16.72,17.17,18.0,18.53,19.11,18.68,17.93,17.69,17.33,16.75,16.25,16.47
7,15.19,15.39,15.78,16.15,16.5,16.72,17.17,18.0,18.53,19.11,18.68,17.93,17.69,17.33,16.75,16.25,16.47,15.89
8,15.39,15.78,16.15,16.5,16.72,17.17,18.0,18.53,19.11,18.68,17.93,17.69,17.33,16.75,16.25,16.47,15.89,15.03
9,15.78,16.15,16.5,16.72,17.17,18.0,18.53,19.11,18.68,17.93,17.69,17.33,16.75,16.25,16.47,15.89,15.03,13.19
10,16.15,16.5,16.72,17.17,18.0,18.53,19.11,18.68,17.93,17.69,17.33,16.75,16.25,16.47,15.89,15.03,13.19,12.69
11,16.5,16.72,17.17,18.0,18.53,19.11,18.68,17.93,17.69,17.33,16.75,16.25,16.47,15.89,15.03,13.19,12.69,12.94
12,16.72,17.17,18.0,18.53,19.11,18.68,17.93,17.69,17.33,16.75,16.25,16.47,15.89,15.03,13.19,12.69,12.94,13.59
