,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
0,0.1262,0.8764,0.108,0.8942,4629.0,32.0,0.1,0.0
1,0.1775,0.8261,0.164,0.8393,4629.0,32.0,0.03162277660168379,0.0
2,0.282,0.7238,0.2325,0.7723,4629.0,32.0,0.01,0.0
3,0.5202,0.4905,0.3666,0.6409,4629.0,32.0,0.0031622776601683794,0.0
4,0.8933,0.125,0.4501,0.5591,4629.0,32.0,0.001,0.0
5,0.8422,0.175,0.5145,0.496,4629.0,32.0,0.00031622776601683794,0.0
6,0.9261,0.0928,0.6325,0.3805,4629.0,32.0,0.0001,0.0
7,0.1101,0.8922,0.1084,0.8938,4629.0,32.0,0.1,1e-05
8,0.1637,0.8396,0.1673,0.8362,4629.0,32.0,0.03162277660168379,1e-05
9,0.2744,0.7313,0.2329,0.7718,4629.0,32.0,0.01,1e-05
10,0.4136,0.5949,0.3668,0.6407,4629.0,32.0,0.0031622776601683794,1e-05
11,0.7433,0.2719,0.4503,0.5589,4629.0,32.0,0.001,1e-05
12,0.8775,0.1405,0.5148,0.4958,4629.0,32.0,0.00031622776601683794,1e-05
13,1.0054,0.0152,0.6327,0.3802,4629.0,32.0,0.0001,1e-05
14,0.1214,0.8811,0.1162,0.8862,4629.0,32.0,0.1,3.9810717055349695e-05
15,0.1641,0.8393,0.1679,0.8355,4629.0,32.0,0.03162277660168379,3.9810717055349695e-05
16,0.2713,0.7343,0.2324,0.7724,4629.0,32.0,0.01,3.9810717055349695e-05
17,0.4224,0.5862,0.3677,0.6398,4629.0,32.0,0.0031622776601683794,3.9810717055349695e-05
18,0.7162,0.2985,0.4508,0.5584,4629.0,32.0,0.001,3.9810717055349695e-05
19,0.9357,0.0835,0.5155,0.4951,4629.0,32.0,0.00031622776601683794,3.9810717055349695e-05
20,0.9623,0.0574,0.6335,0.3795,4629.0,32.0,0.0001,3.9810717055349695e-05
21,0.1666,0.8368,0.1458,0.8572,4629.0,32.0,0.1,0.00015848931924611142
22,0.2139,0.7905,0.1774,0.8262,4629.0,32.0,0.03162277660168379,0.00015848931924611142
23,0.2467,0.7584,0.2353,0.7695,4629.0,32.0,0.01,0.00015848931924611142
24,0.4354,0.5735,0.3714,0.6362,4629.0,32.0,0.0031622776601683794,0.00015848931924611142
25,0.8162,0.2005,0.4535,0.5558,4629.0,32.0,0.001,0.00015848931924611142
26,0.9146,0.1042,0.5186,0.492,4629.0,32.0,0.00031622776601683794,0.00015848931924611142
27,0.9757,0.0442,0.6364,0.3766,4629.0,32.0,0.0001,0.00015848931924611142
28,0.1617,0.8416,0.1505,0.8526,4629.0,32.0,0.1,0.000630957344480193
29,0.1914,0.8125,0.2046,0.7996,4629.0,32.0,0.03162277660168379,0.000630957344480193
30,0.2692,0.7363,0.2606,0.7447,4629.0,32.0,0.01,0.000630957344480193
31,0.3798,0.628,0.3894,0.6186,4629.0,32.0,0.0031622776601683794,0.000630957344480193
32,0.8646,0.1531,0.4708,0.5389,4629.0,32.0,0.001,0.000630957344480193
33,0.8884,0.1298,0.5348,0.4761,4629.0,32.0,0.00031622776601683794,0.000630957344480193
34,0.8661,0.1516,0.6484,0.3648,4629.0,32.0,0.0001,0.000630957344480193
