,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
0,1.0058,0.0148,0.9612,0.0585,4629.0,32.0,0.1,0.0
1,1.0169,0.0039,1.0198,0.0011,4629.0,32.0,0.025118864315095794,0.0
2,1.0198,0.0011,1.0209,0.0,4629.0,32.0,0.00630957344480193,0.0
3,1.0194,0.0015,1.0212,-0.0003,4629.0,32.0,0.001584893192461114,0.0
4,1.0203,0.0006,1.0221,-0.0012,4629.0,32.0,0.00039810717055349735,0.0
5,1.0282,-0.0072,1.191,-0.1666,4629.0,32.0,0.0001,0.0
6,0.9955,0.0248,0.9613,0.0584,4629.0,32.0,0.1,1e-05
7,1.0195,0.0014,1.0198,0.0011,4629.0,32.0,0.025118864315095794,1e-05
8,1.0213,-0.0004,1.0209,0.0,4629.0,32.0,0.00630957344480193,1e-05
9,1.0214,-0.0005,1.0212,-0.0003,4629.0,32.0,0.001584893192461114,1e-05
10,1.0204,0.0005,1.0221,-0.0011,4629.0,32.0,0.00039810717055349735,1e-05
11,1.1315,-0.1083,1.1902,-0.1658,4629.0,32.0,0.0001,1e-05
12,1.013,0.0077,0.9614,0.0582,4629.0,32.0,0.1,3.1622776601683795e-05
13,1.0193,0.0016,1.0198,0.0011,4629.0,32.0,0.025118864315095794,3.1622776601683795e-05
14,1.0202,0.0007,1.0209,0.0,4629.0,32.0,0.00630957344480193,3.1622776601683795e-05
15,1.0191,0.0018,1.0212,-0.0003,4629.0,32.0,0.001584893192461114,3.1622776601683795e-05
16,1.0199,0.0009,1.022,-0.0011,4629.0,32.0,0.00039810717055349735,3.1622776601683795e-05
17,1.0927,-0.0704,1.1885,-0.1642,4629.0,32.0,0.0001,3.1622776601683795e-05
18,0.9873,0.0329,0.962,0.0577,4629.0,32.0,0.1,0.0001
19,1.02,0.0009,1.0198,0.0011,4629.0,32.0,0.025118864315095794,0.0001
20,1.0202,0.0007,1.0209,0.0,4629.0,32.0,0.00630957344480193,0.0001
21,1.0222,-0.0013,1.0212,-0.0003,4629.0,32.0,0.001584893192461114,0.0001
22,1.0232,-0.0022,1.0219,-0.001,4629.0,32.0,0.00039810717055349735,0.0001
23,1.0619,-0.0402,1.1832,-0.1589,4629.0,32.0,0.0001,0.0001
24,1.0144,0.0064,0.9636,0.0562,4629.0,32.0,0.1,0.00031622776601683794
25,1.0197,0.0012,1.0197,0.0011,4629.0,32.0,0.025118864315095794,0.00031622776601683794
26,1.0215,-0.0006,1.0209,0.0,4629.0,32.0,0.00630957344480193,0.00031622776601683794
27,1.0185,0.0024,1.0212,-0.0003,4629.0,32.0,0.001584893192461114,0.00031622776601683794
28,1.0257,-0.0047,1.0216,-0.0006,4629.0,32.0,0.00039810717055349735,0.00031622776601683794
29,1.0895,-0.0672,1.1674,-0.1435,4629.0,32.0,0.0001,0.00031622776601683794
30,1.013,0.0077,0.9686,0.0513,4629.0,32.0,0.1,0.001
31,1.0192,0.0017,1.0197,0.0012,4629.0,32.0,0.025118864315095794,0.001
32,1.0212,-0.0003,1.021,-0.0,4629.0,32.0,0.00630957344480193,0.001
33,1.0209,-0.0,1.0213,-0.0003,4629.0,32.0,0.001584893192461114,0.001
34,1.02,0.0009,1.0212,-0.0003,4629.0,32.0,0.00039810717055349735,0.001
35,1.2228,-0.1978,1.1268,-0.1037,4629.0,32.0,0.0001,0.001
36,1.011,0.0097,0.9449,0.0745,1211.0,16.0,0.1,0.0
37,1.0204,0.0005,1.0184,0.0024,1211.0,16.0,0.025118864315095794,0.0
38,1.0199,0.0009,1.0206,0.0003,1211.0,16.0,0.00630957344480193,0.0
39,1.021,-0.0001,1.0214,-0.0005,1211.0,16.0,0.001584893192461114,0.0
40,1.0236,-0.0027,1.0411,-0.0198,1211.0,16.0,0.00039810717055349735,0.0
41,1.0326,-0.0115,1.3744,-0.3462,1211.0,16.0,0.0001,0.0
42,1.0196,0.0012,0.945,0.0743,1211.0,16.0,0.1,1e-05
43,1.0185,0.0023,1.0184,0.0024,1211.0,16.0,0.025118864315095794,1e-05
44,1.0208,0.0001,1.0206,0.0003,1211.0,16.0,0.00630957344480193,1e-05
45,1.0205,0.0004,1.0214,-0.0005,1211.0,16.0,0.001584893192461114,1e-05
46,1.0265,-0.0055,1.0409,-0.0196,1211.0,16.0,0.00039810717055349735,1e-05
47,1.0369,-0.0157,1.3733,-0.3451,1211.0,16.0,0.0001,1e-05
48,1.022,-0.0011,0.9453,0.074,1211.0,16.0,0.1,3.1622776601683795e-05
49,1.019,0.0018,1.0184,0.0025,1211.0,16.0,0.025118864315095794,3.1622776601683795e-05
50,1.0186,0.0022,1.0206,0.0003,1211.0,16.0,0.00630957344480193,3.1622776601683795e-05
51,1.02,0.0009,1.0214,-0.0005,1211.0,16.0,0.001584893192461114,3.1622776601683795e-05
52,1.0569,-0.0353,1.0405,-0.0192,1211.0,16.0,0.00039810717055349735,3.1622776601683795e-05
53,1.1834,-0.1592,1.3709,-0.3428,1211.0,16.0,0.0001,3.1622776601683795e-05
54,0.9393,0.08,0.9463,0.0731,1211.0,16.0,0.1,0.0001
55,1.0206,0.0003,1.0184,0.0025,1211.0,16.0,0.025118864315095794,0.0001
56,1.0226,-0.0016,1.0206,0.0003,1211.0,16.0,0.00630957344480193,0.0001
57,1.0205,0.0004,1.0214,-0.0005,1211.0,16.0,0.001584893192461114,0.0001
58,1.0228,-0.0018,1.0391,-0.0179,1211.0,16.0,0.00039810717055349735,0.0001
