,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
0,0.6451,0.3682,0.8494,0.168,129.0,32.0,0.1,0.0
1,0.8682,0.1495,0.9739,0.0461,129.0,32.0,0.025118864315095794,0.0
2,0.8739,0.144,1.01,0.0107,129.0,32.0,0.00630957344480193,0.0
3,0.9144,0.1043,1.023,-0.002,129.0,32.0,0.001584893192461114,0.0
4,0.9815,0.0386,1.04,-0.0187,129.0,32.0,0.00039810717055349735,0.0
5,1.0068,0.0139,1.0502,-0.0287,129.0,32.0,0.0001,0.0
6,0.5734,0.4384,0.8495,0.1679,129.0,32.0,0.1,1e-05
7,0.8769,0.141,0.974,0.0459,129.0,32.0,0.025118864315095794,1e-05
8,0.8769,0.1411,1.01,0.0107,129.0,32.0,0.00630957344480193,1e-05
9,0.8965,0.1219,1.0229,-0.002,129.0,32.0,0.001584893192461114,1e-05
10,0.9413,0.078,1.0399,-0.0186,129.0,32.0,0.00039810717055349735,1e-05
11,0.9848,0.0353,1.0502,-0.0287,129.0,32.0,0.0001,1e-05
12,0.5661,0.4455,0.8496,0.1678,129.0,32.0,0.1,3.1622776601683795e-05
13,0.8628,0.1549,0.9743,0.0457,129.0,32.0,0.025118864315095794,3.1622776601683795e-05
14,0.8753,0.1426,1.01,0.0107,129.0,32.0,0.00630957344480193,3.1622776601683795e-05
15,0.9025,0.1159,1.0229,-0.0019,129.0,32.0,0.001584893192461114,3.1622776601683795e-05
16,1.0337,-0.0125,1.0399,-0.0186,129.0,32.0,0.00039810717055349735,3.1622776601683795e-05
17,1.1372,-0.1139,1.0501,-0.0286,129.0,32.0,0.0001,3.1622776601683795e-05
18,0.6454,0.3678,0.85,0.1674,129.0,32.0,0.1,0.0001
19,0.8726,0.1452,0.9752,0.0448,129.0,32.0,0.025118864315095794,0.0001
20,0.8751,0.1428,1.01,0.0107,129.0,32.0,0.00630957344480193,0.0001
21,0.9211,0.0978,1.0227,-0.0018,129.0,32.0,0.001584893192461114,0.0001
22,0.9758,0.0442,1.0397,-0.0184,129.0,32.0,0.00039810717055349735,0.0001
23,1.0456,-0.0242,1.0501,-0.0286,129.0,32.0,0.0001,0.0001
24,0.5498,0.4615,0.8515,0.166,129.0,32.0,0.1,0.00031622776601683794
25,0.8579,0.1597,0.9778,0.0422,129.0,32.0,0.025118864315095794,0.00031622776601683794
26,0.8736,0.1442,1.0102,0.0105,129.0,32.0,0.00630957344480193,0.00031622776601683794
27,0.8995,0.1189,1.0222,-0.0013,129.0,32.0,0.001584893192461114,0.00031622776601683794
28,0.9896,0.0307,1.0391,-0.0178,129.0,32.0,0.00039810717055349735,0.00031622776601683794
29,1.0169,0.0039,1.0498,-0.0283,129.0,32.0,0.0001,0.00031622776601683794
30,0.6885,0.3256,0.8587,0.1589,129.0,32.0,0.1,0.001
31,0.8716,0.1463,0.985,0.0352,129.0,32.0,0.025118864315095794,0.001
32,0.8746,0.1433,1.0106,0.0101,129.0,32.0,0.00630957344480193,0.001
33,0.9361,0.0831,1.0208,0.0001,129.0,32.0,0.001584893192461114,0.001
34,0.9878,0.0324,1.0374,-0.0161,129.0,32.0,0.00039810717055349735,0.001
35,1.0244,-0.0034,1.049,-0.0276,129.0,32.0,0.0001,0.001
36,0.5552,0.4562,0.8888,0.1294,65.0,16.0,0.1,0.0
37,0.7984,0.2179,1.0197,0.0012,65.0,16.0,0.025118864315095794,0.0
38,0.8733,0.1445,1.0337,-0.0126,65.0,16.0,0.00630957344480193,0.0
39,0.9707,0.0492,1.0683,-0.0464,65.0,16.0,0.001584893192461114,0.0
40,1.0015,0.019,1.1125,-0.0897,65.0,16.0,0.00039810717055349735,0.0
41,0.9865,0.0337,1.135,-0.1118,65.0,16.0,0.0001,0.0
42,0.4949,0.5152,0.8891,0.1291,65.0,16.0,0.1,1e-05
43,0.8694,0.1484,1.0197,0.0012,65.0,16.0,0.025118864315095794,1e-05
44,0.8667,0.1511,1.0337,-0.0125,65.0,16.0,0.00630957344480193,1e-05
45,0.936,0.0832,1.0682,-0.0463,65.0,16.0,0.001584893192461114,1e-05
46,0.9367,0.0825,1.1124,-0.0896,65.0,16.0,0.00039810717055349735,1e-05
47,1.015,0.0058,1.135,-0.1118,65.0,16.0,0.0001,1e-05
48,0.5714,0.4403,0.8898,0.1284,65.0,16.0,0.1,3.1622776601683795e-05
49,0.8411,0.1761,1.0197,0.0012,65.0,16.0,0.025118864315095794,3.1622776601683795e-05
50,0.8752,0.1427,1.0337,-0.0125,65.0,16.0,0.00630957344480193,3.1622776601683795e-05
51,0.9478,0.0716,1.0681,-0.0462,65.0,16.0,0.001584893192461114,3.1622776601683795e-05
