,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
0,0.1172,0.8852,0.108,0.8942,4629.0,32.0,0.1,0.0
1,0.1885,0.8154,0.1838,0.82,4629.0,32.0,0.025118864315095794,0.0
2,0.3127,0.6937,0.2759,0.7298,4629.0,32.0,0.00630957344480193,0.0
3,0.5264,0.4843,0.4255,0.5832,4629.0,32.0,0.001584893192461114,0.0
4,0.8852,0.1329,0.4977,0.5125,4629.0,32.0,0.00039810717055349735,0.0
5,0.9588,0.0608,0.6325,0.3805,4629.0,32.0,0.0001,0.0
6,0.1689,0.8346,0.1084,0.8938,4629.0,32.0,0.1,1e-05
7,0.205,0.7992,0.1821,0.8217,4629.0,32.0,0.025118864315095794,1e-05
8,0.3155,0.691,0.276,0.7296,4629.0,32.0,0.00630957344480193,1e-05
9,0.5626,0.4489,0.4257,0.583,4629.0,32.0,0.001584893192461114,1e-05
10,0.8998,0.1186,0.498,0.5122,4629.0,32.0,0.00039810717055349735,1e-05
11,0.9042,0.1143,0.6327,0.3802,4629.0,32.0,0.0001,1e-05
12,0.1018,0.9003,0.1183,0.8841,4629.0,32.0,0.1,3.1622776601683795e-05
13,0.1862,0.8176,0.1847,0.8191,4629.0,32.0,0.025118864315095794,3.1622776601683795e-05
14,0.2972,0.7089,0.2764,0.7293,4629.0,32.0,0.00630957344480193,3.1622776601683795e-05
15,0.6082,0.4042,0.4261,0.5826,4629.0,32.0,0.001584893192461114,3.1622776601683795e-05
16,0.8273,0.1897,0.4984,0.5118,4629.0,32.0,0.00039810717055349735,3.1622776601683795e-05
17,0.9547,0.0649,0.6333,0.3797,4629.0,32.0,0.0001,3.1622776601683795e-05
18,0.1475,0.8555,0.1359,0.8669,4629.0,32.0,0.1,0.0001
19,0.2049,0.7993,0.1929,0.811,4629.0,32.0,0.025118864315095794,0.0001
20,0.3202,0.6863,0.2779,0.7278,4629.0,32.0,0.00630957344480193,0.0001
21,0.534,0.477,0.4276,0.5811,4629.0,32.0,0.001584893192461114,0.0001
22,0.8879,0.1303,0.5002,0.5101,4629.0,32.0,0.00039810717055349735,0.0001
23,0.9833,0.0369,0.635,0.378,4629.0,32.0,0.0001,0.0001
24,0.1429,0.86,0.1521,0.851,4629.0,32.0,0.1,0.00031622776601683794
25,0.2238,0.7808,0.1995,0.8046,4629.0,32.0,0.025118864315095794,0.00031622776601683794
26,0.3005,0.7056,0.2863,0.7196,4629.0,32.0,0.00630957344480193,0.00031622776601683794
27,0.5814,0.4305,0.4341,0.5747,4629.0,32.0,0.001584893192461114,0.00031622776601683794
28,0.8239,0.1929,0.507,0.5034,4629.0,32.0,0.00039810717055349735,0.00031622776601683794
29,1.0075,0.0131,0.6404,0.3727,4629.0,32.0,0.0001,0.00031622776601683794
30,0.1476,0.8554,0.1949,0.8091,4629.0,32.0,0.1,0.001
31,0.1733,0.8302,0.243,0.762,4629.0,32.0,0.025118864315095794,0.001
32,0.3047,0.7016,0.3287,0.678,4629.0,32.0,0.00630957344480193,0.001
33,0.5227,0.488,0.4657,0.5439,4629.0,32.0,0.001584893192461114,0.001
34,0.7162,0.2984,0.535,0.4759,4629.0,32.0,0.00039810717055349735,0.001
35,0.8191,0.1977,0.6579,0.3556,4629.0,32.0,0.0001,0.001
36,0.2365,0.7684,0.1212,0.8813,1211.0,16.0,0.1,0.0
37,0.1932,0.8107,0.212,0.7924,1211.0,16.0,0.025118864315095794,0.0
38,0.3137,0.6928,0.359,0.6484,1211.0,16.0,0.00630957344480193,0.0
39,0.6961,0.3181,0.5284,0.4824,1211.0,16.0,0.001584893192461114,0.0
40,0.6731,0.3407,0.6686,0.3451,1211.0,16.0,0.00039810717055349735,0.0
41,1.0,0.0205,0.8021,0.2143,1211.0,16.0,0.0001,0.0
42,0.1562,0.847,0.1348,0.8679,1211.0,16.0,0.1,1e-05
43,0.1927,0.8113,0.2124,0.792,1211.0,16.0,0.025118864315095794,1e-05
44,0.3651,0.6424,0.3592,0.6481,1211.0,16.0,0.00630957344480193,1e-05
45,0.5858,0.4262,0.5287,0.4822,1211.0,16.0,0.001584893192461114,1e-05
46,0.9172,0.1015,0.6686,0.3451,1211.0,16.0,0.00039810717055349735,1e-05
47,0.9962,0.0242,0.8022,0.2142,1211.0,16.0,0.0001,1e-05
48,0.1689,0.8345,0.1184,0.884,1211.0,16.0,0.1,3.1622776601683795e-05
49,0.1834,0.8204,0.2127,0.7917,1211.0,16.0,0.025118864315095794,3.1622776601683795e-05
50,0.378,0.6297,0.3598,0.6476,1211.0,16.0,0.00630957344480193,3.1622776601683795e-05
51,0.6035,0.4088,0.5292,0.4817,1211.0,16.0,0.001584893192461114,3.1622776601683795e-05
52,0.8858,0.1323,0.6688,0.3449,1211.0,16.0,0.00039810717055349735,3.1622776601683795e-05
53,0.9417,0.0776,0.8024,0.214,1211.0,16.0,0.0001,3.1622776601683795e-05
54,0.1646,0.8388,0.1365,0.8663,1211.0,16.0,0.1,0.0001
55,0.175,0.8286,0.2148,0.7896,1211.0,16.0,0.025118864315095794,0.0001
56,0.3917,0.6163,0.3619,0.6455,1211.0,16.0,0.00630957344480193,0.0001
57,0.5954,0.4168,0.531,0.4799,1211.0,16.0,0.001584893192461114,0.0001
58,0.9684,0.0514,0.6694,0.3443,1211.0,16.0,0.00039810717055349735,0.0001
59,0.8355,0.1816,0.8032,0.2132,1211.0,16.0,0.0001,0.0001
60,0.1208,0.8817,0.125,0.8776,1211.0,16.0,0.1,0.00031622776601683794
61,0.2206,0.7839,0.2209,0.7836,1211.0,16.0,0.025118864315095794,0.00031622776601683794
62,0.3026,0.7036,0.3709,0.6367,1211.0,16.0,0.00630957344480193,0.00031622776601683794
63,0.6647,0.3489,0.5374,0.4736,1211.0,16.0,0.001584893192461114,0.00031622776601683794
64,0.9602,0.0595,0.6719,0.3418,1211.0,16.0,0.00039810717055349735,0.00031622776601683794
65,1.0277,-0.0066,0.8056,0.2109,1211.0,16.0,0.0001,0.00031622776601683794
66,0.1462,0.8567,0.1809,0.8228,1211.0,16.0,0.1,0.001
67,0.2278,0.7769,0.2571,0.7481,1211.0,16.0,0.025118864315095794,0.001
68,0.3129,0.6935,0.4058,0.6025,1211.0,16.0,0.00630957344480193,0.001
69,0.6884,0.3257,0.5648,0.4468,1211.0,16.0,0.001584893192461114,0.001
