,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
0,0.1023,0.8998,0.154,0.8492,4629.0,32.0,0.1,0.0
1,0.1816,0.8221,0.1895,0.8144,4629.0,32.0,0.025118864315095794,0.0
2,0.3663,0.6412,0.2758,0.7299,4629.0,32.0,0.00630957344480193,0.0
3,0.6067,0.4057,0.4245,0.5842,4629.0,32.0,0.001584893192461114,0.0
4,0.9411,0.0782,0.4976,0.5126,4629.0,32.0,0.00039810717055349735,0.0
5,0.9166,0.1021,0.6336,0.3794,4629.0,32.0,0.0001,0.0
6,0.132,0.8708,0.1478,0.8552,4629.0,32.0,0.1,1e-05
7,0.3105,0.6958,0.1905,0.8134,4629.0,32.0,0.025118864315095794,1e-05
8,0.3216,0.6849,0.276,0.7296,4629.0,32.0,0.00630957344480193,1e-05
9,0.6105,0.402,0.4247,0.584,4629.0,32.0,0.001584893192461114,1e-05
10,0.9177,0.1011,0.4978,0.5124,4629.0,32.0,0.00039810717055349735,1e-05
11,0.9368,0.0824,0.6338,0.3791,4629.0,32.0,0.0001,1e-05
12,0.1535,0.8497,0.1474,0.8556,4629.0,32.0,0.1,3.1622776601683795e-05
13,0.2216,0.7829,0.1898,0.8141,4629.0,32.0,0.025118864315095794,3.1622776601683795e-05
14,0.3277,0.679,0.2764,0.7293,4629.0,32.0,0.00630957344480193,3.1622776601683795e-05
15,0.5524,0.4589,0.4251,0.5836,4629.0,32.0,0.001584893192461114,3.1622776601683795e-05
16,0.9182,0.1006,0.4983,0.5119,4629.0,32.0,0.00039810717055349735,3.1622776601683795e-05
17,1.0221,-0.0011,0.6344,0.3786,4629.0,32.0,0.0001,3.1622776601683795e-05
18,0.273,0.7326,0.1491,0.8539,4629.0,32.0,0.1,0.0001
19,0.1771,0.8266,0.1912,0.8127,4629.0,32.0,0.025118864315095794,0.0001
20,0.2849,0.7209,0.2774,0.7283,4629.0,32.0,0.00630957344480193,0.0001
21,0.531,0.4799,0.4269,0.5819,4629.0,32.0,0.001584893192461114,0.0001
22,0.7435,0.2717,0.5,0.5102,4629.0,32.0,0.00039810717055349735,0.0001
23,0.9123,0.1064,0.6361,0.3769,4629.0,32.0,0.0001,0.0001
24,0.1275,0.8751,0.1184,0.8841,4629.0,32.0,0.1,0.00031622776601683794
25,0.2208,0.7837,0.2029,0.8013,4629.0,32.0,0.025118864315095794,0.00031622776601683794
26,0.2984,0.7077,0.2854,0.7204,4629.0,32.0,0.00630957344480193,0.00031622776601683794
27,0.6703,0.3434,0.4338,0.5751,4629.0,32.0,0.001584893192461114,0.00031622776601683794
28,0.8805,0.1375,0.5068,0.5036,4629.0,32.0,0.00039810717055349735,0.00031622776601683794
29,1.0094,0.0113,0.6417,0.3715,4629.0,32.0,0.0001,0.00031622776601683794
30,0.2069,0.7973,0.9937,0.0266,4629.0,32.0,0.1,0.001
31,0.1865,0.8173,0.2428,0.7622,4629.0,32.0,0.025118864315095794,0.001
32,0.259,0.7463,0.3321,0.6747,4629.0,32.0,0.00630957344480193,0.001
33,0.587,0.425,0.4649,0.5446,4629.0,32.0,0.001584893192461114,0.001
34,0.8816,0.1364,0.5352,0.4758,4629.0,32.0,0.00039810717055349735,0.001
35,0.961,0.0587,0.6594,0.3541,4629.0,32.0,0.0001,0.001
36,0.218,0.7865,0.124,0.8786,1211.0,16.0,0.1,0.0
37,0.1858,0.818,0.2177,0.7868,1211.0,16.0,0.025118864315095794,0.0
38,0.3243,0.6823,0.3604,0.647,1211.0,16.0,0.00630957344480193,0.0
39,0.6046,0.4078,0.5276,0.4832,1211.0,16.0,0.001584893192461114,0.0
40,0.8656,0.1521,0.6662,0.3475,1211.0,16.0,0.00039810717055349735,0.0
41,0.9394,0.0798,0.8033,0.2131,1211.0,16.0,0.0001,0.0
42,0.1818,0.8219,0.1301,0.8725,1211.0,16.0,0.1,1e-05
43,0.1755,0.8281,0.2188,0.7857,1211.0,16.0,0.025118864315095794,1e-05
44,0.3988,0.6094,0.3605,0.6469,1211.0,16.0,0.00630957344480193,1e-05
45,0.9944,0.026,0.5279,0.4829,1211.0,16.0,0.001584893192461114,1e-05
46,0.9432,0.0761,0.6663,0.3474,1211.0,16.0,0.00039810717055349735,1e-05
47,0.9711,0.0488,0.8034,0.213,1211.0,16.0,0.0001,1e-05
48,0.1437,0.8592,0.1326,0.8701,1211.0,16.0,0.1,3.1622776601683795e-05
49,0.2251,0.7795,0.2153,0.7891,1211.0,16.0,0.025118864315095794,3.1622776601683795e-05
50,0.3614,0.646,0.3609,0.6465,1211.0,16.0,0.00630957344480193,3.1622776601683795e-05
51,0.6826,0.3314,0.5284,0.4824,1211.0,16.0,0.001584893192461114,3.1622776601683795e-05
52,0.8985,0.1199,0.6665,0.3471,1211.0,16.0,0.00039810717055349735,3.1622776601683795e-05
53,1.0217,-0.0008,0.8036,0.2128,1211.0,16.0,0.0001,3.1622776601683795e-05
54,0.1484,0.8546,0.1278,0.8749,1211.0,16.0,0.1,0.0001
55,0.2502,0.7549,0.2184,0.7861,1211.0,16.0,0.025118864315095794,0.0001
56,0.287,0.7189,0.3628,0.6446,1211.0,16.0,0.00630957344480193,0.0001
57,0.9139,0.1048,0.5302,0.4806,1211.0,16.0,0.001584893192461114,0.0001
