,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
0,0.3098,0.6965,0.6639,0.3497,129.0,32.0,0.1,0.0
1,0.3871,0.6208,0.6813,0.3326,129.0,32.0,0.025118864315095794,0.0
2,0.5259,0.4848,0.7109,0.3036,129.0,32.0,0.00630957344480193,0.0
3,0.6044,0.408,1.018,0.0029,129.0,32.0,0.001584893192461114,0.0
4,0.7873,0.2288,1.0183,0.0025,129.0,32.0,0.00039810717055349735,0.0
5,0.9439,0.0754,1.0184,0.0024,129.0,32.0,0.0001,0.0
6,0.2954,0.7106,0.6639,0.3497,129.0,32.0,0.1,1e-05
7,0.3693,0.6382,0.6813,0.3327,129.0,32.0,0.025118864315095794,1e-05
8,0.506,0.5044,0.711,0.3036,129.0,32.0,0.00630957344480193,1e-05
9,0.6144,0.3982,1.018,0.0029,129.0,32.0,0.001584893192461114,1e-05
10,0.8407,0.1766,1.0183,0.0025,129.0,32.0,0.00039810717055349735,1e-05
11,1.0457,-0.0243,1.0184,0.0024,129.0,32.0,0.0001,1e-05
12,0.2904,0.7155,0.6638,0.3498,129.0,32.0,0.1,3.1622776601683795e-05
13,0.3499,0.6572,0.6813,0.3326,129.0,32.0,0.025118864315095794,3.1622776601683795e-05
14,0.4943,0.5158,0.7111,0.3035,129.0,32.0,0.00630957344480193,3.1622776601683795e-05
15,0.6423,0.3709,1.018,0.0029,129.0,32.0,0.001584893192461114,3.1622776601683795e-05
16,0.7789,0.237,1.0183,0.0025,129.0,32.0,0.00039810717055349735,3.1622776601683795e-05
17,0.9157,0.103,1.0184,0.0024,129.0,32.0,0.0001,3.1622776601683795e-05
18,0.2988,0.7073,0.6639,0.3497,129.0,32.0,0.1,0.0001
19,0.3478,0.6593,0.6815,0.3325,129.0,32.0,0.025118864315095794,0.0001
20,0.4933,0.5168,0.7115,0.303,129.0,32.0,0.00630957344480193,0.0001
21,0.6344,0.3786,1.018,0.0029,129.0,32.0,0.001584893192461114,0.0001
22,0.8823,0.1357,1.0183,0.0025,129.0,32.0,0.00039810717055349735,0.0001
23,1.1105,-0.0877,1.0184,0.0024,129.0,32.0,0.0001,0.0001
24,0.2987,0.7074,0.6657,0.3479,129.0,32.0,0.1,0.00031622776601683794
25,0.3517,0.6556,0.6833,0.3307,129.0,32.0,0.025118864315095794,0.00031622776601683794
26,0.4854,0.5245,0.7142,0.3004,129.0,32.0,0.00630957344480193,0.00031622776601683794
27,0.6759,0.3379,1.018,0.0029,129.0,32.0,0.001584893192461114,0.00031622776601683794
28,0.7454,0.2699,1.0183,0.0025,129.0,32.0,0.00039810717055349735,0.00031622776601683794
29,0.8161,0.2006,1.0184,0.0024,129.0,32.0,0.0001,0.00031622776601683794
30,0.3391,0.6679,0.6807,0.3333,129.0,32.0,0.1,0.001
31,0.3664,0.6411,0.6972,0.3171,129.0,32.0,0.025118864315095794,0.001
32,0.4999,0.5103,0.7284,0.2866,129.0,32.0,0.00630957344480193,0.001
33,0.6435,0.3696,1.018,0.0029,129.0,32.0,0.001584893192461114,0.001
34,0.7964,0.2199,1.0183,0.0025,129.0,32.0,0.00039810717055349735,0.001
35,0.8138,0.2029,1.0184,0.0024,129.0,32.0,0.0001,0.001
36,0.3137,0.6927,0.6649,0.3487,65.0,16.0,0.1,0.0
37,0.348,0.6591,0.6877,0.3264,65.0,16.0,0.025118864315095794,0.0
38,0.508,0.5024,0.7389,0.2762,65.0,16.0,0.00630957344480193,0.0
39,0.672,0.3418,1.0209,-0.0,65.0,16.0,0.001584893192461114,0.0
40,0.7967,0.2196,1.0215,-0.0006,65.0,16.0,0.00039810717055349735,0.0
41,0.8385,0.1787,1.0216,-0.0007,65.0,16.0,0.0001,0.0
42,0.3297,0.677,0.6649,0.3488,65.0,16.0,0.1,1e-05
43,0.3686,0.639,0.6877,0.3264,65.0,16.0,0.025118864315095794,1e-05
44,0.4971,0.5131,0.7389,0.2763,65.0,16.0,0.00630957344480193,1e-05
45,0.6652,0.3484,1.0209,-0.0,65.0,16.0,0.001584893192461114,1e-05
46,0.7758,0.24,1.0215,-0.0006,65.0,16.0,0.00039810717055349735,1e-05
47,0.9544,0.0651,1.0216,-0.0007,65.0,16.0,0.0001,1e-05
48,0.3003,0.7058,0.6648,0.3489,65.0,16.0,0.1,3.1622776601683795e-05
49,0.3521,0.6551,0.6877,0.3264,65.0,16.0,0.025118864315095794,3.1622776601683795e-05
50,0.519,0.4916,0.7388,0.2763,65.0,16.0,0.00630957344480193,3.1622776601683795e-05
51,0.629,0.3838,1.0209,-0.0,65.0,16.0,0.001584893192461114,3.1622776601683795e-05
52,0.9453,0.074,1.0215,-0.0006,65.0,16.0,0.00039810717055349735,3.1622776601683795e-05
53,1.0142,0.0065,1.0216,-0.0007,65.0,16.0,0.0001,3.1622776601683795e-05
54,0.3804,0.6274,0.6646,0.349,65.0,16.0,0.1,0.0001
55,0.4244,0.5843,0.6881,0.326,65.0,16.0,0.025118864315095794,0.0001
56,0.498,0.5122,0.739,0.2761,65.0,16.0,0.00630957344480193,0.0001
57,0.7626,0.253,1.0209,-0.0,65.0,16.0,0.001584893192461114,0.0001
58,0.7782,0.2378,1.0215,-0.0006,65.0,16.0,0.00039810717055349735,0.0001
59,1.2193,-0.1943,1.0216,-0.0007,65.0,16.0,0.0001,0.0001
60,0.3954,0.6127,0.6659,0.3478,65.0,16.0,0.1,0.00031622776601683794
61,0.4191,0.5895,0.6902,0.3239,65.0,16.0,0.025118864315095794,0.00031622776601683794
62,0.4716,0.5381,0.7403,0.2749,65.0,16.0,0.00630957344480193,0.00031622776601683794
63,0.6867,0.3274,1.0209,-0.0,65.0,16.0,0.001584893192461114,0.00031622776601683794
64,0.789,0.2272,1.0215,-0.0006,65.0,16.0,0.00039810717055349735,0.00031622776601683794
65,1.296,-0.2695,1.0216,-0.0007,65.0,16.0,0.0001,0.00031622776601683794
66,0.2996,0.7065,0.6796,0.3343,65.0,16.0,0.1,0.001
67,0.3709,0.6367,0.7042,0.3102,65.0,16.0,0.025118864315095794,0.001
68,0.4948,0.5154,0.7507,0.2647,65.0,16.0,0.00630957344480193,0.001
69,0.6619,0.3516,1.0209,-0.0,65.0,16.0,0.001584893192461114,0.001
70,0.8583,0.1592,1.0215,-0.0006,65.0,16.0,0.00039810717055349735,0.001
71,0.9477,0.0718,1.0216,-0.0007,65.0,16.0,0.0001,0.001
72,0.3175,0.689,0.6779,0.3359,33.0,8.0,0.1,0.0
73,0.5127,0.4978,0.6965,0.3178,33.0,8.0,0.025118864315095794,0.0
74,0.5532,0.4582,0.7483,0.2671,33.0,8.0,0.00630957344480193,0.0
75,0.9233,0.0956,0.7846,0.2315,33.0,8.0,0.001584893192461114,0.0
76,0.7918,0.2244,0.8288,0.1882,33.0,8.0,0.00039810717055349735,0.0
77,1.0448,-0.0234,1.1924,-0.1679,33.0,8.0,0.0001,0.0
78,0.3375,0.6694,0.6778,0.3361,33.0,8.0,0.1,1e-05
79,0.4678,0.5418,0.6966,0.3177,33.0,8.0,0.025118864315095794,1e-05
80,0.5843,0.4277,0.7483,0.267,33.0,8.0,0.00630957344480193,1e-05
81,0.8256,0.1913,0.7846,0.2315,33.0,8.0,0.001584893192461114,1e-05
82,0.9089,0.1097,0.8287,0.1883,33.0,8.0,0.00039810717055349735,1e-05
83,0.8568,0.1607,1.1898,-0.1655,33.0,8.0,0.0001,1e-05
84,0.3185,0.688,0.6776,0.3363,33.0,8.0,0.1,3.1622776601683795e-05
85,0.4229,0.5858,0.6968,0.3175,33.0,8.0,0.025118864315095794,3.1622776601683795e-05
86,0.5281,0.4827,0.7485,0.2668,33.0,8.0,0.00630957344480193,3.1622776601683795e-05
87,0.7374,0.2777,0.7846,0.2314,33.0,8.0,0.001584893192461114,3.1622776601683795e-05
88,0.9669,0.0529,0.8284,0.1886,33.0,8.0,0.00039810717055349735,3.1622776601683795e-05
89,1.0499,-0.0284,1.1844,-0.1602,33.0,8.0,0.0001,3.1622776601683795e-05
90,0.4459,0.5633,0.6772,0.3366,33.0,8.0,0.1,0.0001
91,0.3874,0.6205,0.6976,0.3166,33.0,8.0,0.025118864315095794,0.0001
92,0.5867,0.4253,0.7494,0.266,33.0,8.0,0.00630957344480193,0.0001
93,0.7179,0.2968,0.7849,0.2311,33.0,8.0,0.001584893192461114,0.0001
94,0.7722,0.2436,0.8278,0.1892,33.0,8.0,0.00039810717055349735,0.0001
95,0.8182,0.1986,1.1679,-0.144,33.0,8.0,0.0001,0.0001
96,1.5348,-0.5034,0.6772,0.3367,33.0,8.0,0.1,0.00031622776601683794
97,0.4212,0.5875,0.7013,0.3131,33.0,8.0,0.025118864315095794,0.00031622776601683794
98,0.5118,0.4986,0.7529,0.2625,33.0,8.0,0.00630957344480193,0.00031622776601683794
99,0.659,0.3545,0.7866,0.2295,33.0,8.0,0.001584893192461114,0.00031622776601683794
100,0.8677,0.15,0.8273,0.1897,33.0,8.0,0.00039810717055349735,0.00031622776601683794
101,2.0894,-1.0466,1.121,-0.098,33.0,8.0,0.0001,0.00031622776601683794
102,0.3778,0.63,0.81,0.2065,33.0,8.0,0.1,0.001
103,0.4345,0.5744,0.7183,0.2964,33.0,8.0,0.025118864315095794,0.001
104,0.5359,0.475,0.7678,0.248,33.0,8.0,0.00630957344480193,0.001
105,0.7327,0.2823,0.7969,0.2194,33.0,8.0,0.001584893192461114,0.001
106,0.9923,0.028,0.8349,0.1822,33.0,8.0,0.00039810717055349735,0.001
107,1.1375,-0.1142,1.0142,0.0066,33.0,8.0,0.0001,0.001
