,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
0,0.3091,0.6972,1.0212,-0.0003,129.0,32.0,0.1,0.0
1,0.3874,0.6205,1.0212,-0.0003,129.0,32.0,0.025118864315095794,0.0
2,0.5078,0.5026,1.0212,-0.0003,129.0,32.0,0.00630957344480193,0.0
3,0.5977,0.4145,1.0212,-0.0003,129.0,32.0,0.001584893192461114,0.0
4,0.8076,0.209,1.0212,-0.0003,129.0,32.0,0.00039810717055349735,0.0
5,0.9365,0.0826,1.0212,-0.0003,129.0,32.0,0.0001,0.0
6,0.3467,0.6604,1.0212,-0.0003,129.0,32.0,0.1,1e-05
7,0.3767,0.631,1.0212,-0.0003,129.0,32.0,0.025118864315095794,1e-05
8,0.4888,0.5212,1.0212,-0.0003,129.0,32.0,0.00630957344480193,1e-05
9,0.6398,0.3733,1.0212,-0.0003,129.0,32.0,0.001584893192461114,1e-05
10,0.7601,0.2555,1.0212,-0.0003,129.0,32.0,0.00039810717055349735,1e-05
11,0.9127,0.106,1.0212,-0.0003,129.0,32.0,0.0001,1e-05
12,0.5764,0.4354,1.0212,-0.0003,129.0,32.0,0.1,3.1622776601683795e-05
13,0.3711,0.6365,1.0212,-0.0003,129.0,32.0,0.025118864315095794,3.1622776601683795e-05
14,0.4901,0.5199,1.0212,-0.0003,129.0,32.0,0.00630957344480193,3.1622776601683795e-05
15,0.6322,0.3808,1.0212,-0.0003,129.0,32.0,0.001584893192461114,3.1622776601683795e-05
16,0.7456,0.2696,1.0212,-0.0003,129.0,32.0,0.00039810717055349735,3.1622776601683795e-05
17,0.9597,0.06,1.0212,-0.0003,129.0,32.0,0.0001,3.1622776601683795e-05
18,0.3271,0.6796,1.0212,-0.0003,129.0,32.0,0.1,0.0001
19,0.3572,0.6501,1.0212,-0.0003,129.0,32.0,0.025118864315095794,0.0001
20,0.4756,0.5342,1.0212,-0.0003,129.0,32.0,0.00630957344480193,0.0001
21,0.6166,0.3961,1.0212,-0.0003,129.0,32.0,0.001584893192461114,0.0001
22,0.7413,0.2739,1.0212,-0.0003,129.0,32.0,0.00039810717055349735,0.0001
23,1.1155,-0.0926,1.0212,-0.0003,129.0,32.0,0.0001,0.0001
24,0.3062,0.7,1.0212,-0.0003,129.0,32.0,0.1,0.00031622776601683794
25,0.3769,0.6309,1.0212,-0.0003,129.0,32.0,0.025118864315095794,0.00031622776601683794
26,0.497,0.5132,1.0212,-0.0003,129.0,32.0,0.00630957344480193,0.00031622776601683794
27,0.6105,0.402,1.0212,-0.0003,129.0,32.0,0.001584893192461114,0.00031622776601683794
28,0.7729,0.243,1.0212,-0.0003,129.0,32.0,0.00039810717055349735,0.00031622776601683794
29,0.9247,0.0943,1.0212,-0.0003,129.0,32.0,0.0001,0.00031622776601683794
30,0.3737,0.6339,1.0212,-0.0003,129.0,32.0,0.1,0.001
31,0.3844,0.6235,1.0212,-0.0003,129.0,32.0,0.025118864315095794,0.001
32,0.4925,0.5176,1.0212,-0.0003,129.0,32.0,0.00630957344480193,0.001
33,0.6483,0.365,1.0212,-0.0003,129.0,32.0,0.001584893192461114,0.001
34,0.9535,0.066,1.0212,-0.0003,129.0,32.0,0.00039810717055349735,0.001
35,0.8811,0.137,1.0212,-0.0003,129.0,32.0,0.0001,0.001
36,0.302,0.7042,1.0212,-0.0003,65.0,16.0,0.1,0.0
37,0.359,0.6484,1.0212,-0.0003,65.0,16.0,0.025118864315095794,0.0
38,0.5115,0.499,1.0212,-0.0003,65.0,16.0,0.00630957344480193,0.0
39,0.7291,0.2858,1.0212,-0.0003,65.0,16.0,0.001584893192461114,0.0
40,0.7369,0.2782,1.0212,-0.0003,65.0,16.0,0.00039810717055349735,0.0
41,0.8471,0.1703,1.0212,-0.0003,65.0,16.0,0.0001,0.0
42,0.2964,0.7097,1.0212,-0.0003,65.0,16.0,0.1,1e-05
43,0.361,0.6464,1.0212,-0.0003,65.0,16.0,0.025118864315095794,1e-05
44,0.5202,0.4904,1.0212,-0.0003,65.0,16.0,0.00630957344480193,1e-05
