,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN
0,0.3098,0.6965,0.6639,0.3497,129
1,0.3871,0.6208,0.6813,0.3326,129
2,0.5259,0.4848,0.7109,0.3036,129
3,0.6044,0.408,1.018,0.0029,129
4,0.7873,0.2288,1.0183,0.0025,129
5,0.9439,0.0754,1.0184,0.0024,129
6,0.2954,0.7106,0.6639,0.3497,129
7,0.3693,0.6382,0.6813,0.3327,129
8,0.506,0.5044,0.711,0.3036,129
9,0.6144,0.3982,1.018,0.0029,129
10,0.8407,0.1766,1.0183,0.0025,129
11,1.0457,-0.0243,1.0184,0.0024,129
12,0.2904,0.7155,0.6638,0.3498,129
13,0.3499,0.6572,0.6813,0.3326,129
14,0.4943,0.5158,0.7111,0.3035,129
15,0.6423,0.3709,1.018,0.0029,129
16,0.7789,0.237,1.0183,0.0025,129
17,0.9157,0.103,1.0184,0.0024,129
18,0.2988,0.7073,0.6639,0.3497,129
19,0.3478,0.6593,0.6815,0.3325,129
20,0.4933,0.5168,0.7115,0.303,129
21,0.6344,0.3786,1.018,0.0029,129
22,0.8823,0.1357,1.0183,0.0025,129
23,1.1105,-0.0877,1.0184,0.0024,129
24,0.2987,0.7074,0.6657,0.3479,129
25,0.3517,0.6556,0.6833,0.3307,129
26,0.4854,0.5245,0.7142,0.3004,129
27,0.6759,0.3379,1.018,0.0029,129
28,0.7454,0.2699,1.0183,0.0025,129
29,0.8161,0.2006,1.0184,0.0024,129
30,0.3391,0.6679,0.6807,0.3333,129
31,0.3664,0.6411,0.6972,0.3171,129
32,0.4999,0.5103,0.7284,0.2866,129
33,0.6435,0.3696,1.018,0.0029,129
34,0.7964,0.2199,1.0183,0.0025,129
35,0.8138,0.2029,1.0184,0.0024,129
36,0.3137,0.6927,0.6649,0.3487,65
37,0.348,0.6591,0.6877,0.3264,65
38,0.508,0.5024,0.7389,0.2762,65
39,0.672,0.3418,1.0209,0,65
40,0.7967,0.2196,1.0215,-0.0006,65
41,0.8385,0.1787,1.0216,-0.0007,65
42,0.3297,0.677,0.6649,0.3488,65
43,0.3686,0.639,0.6877,0.3264,65
44,0.4971,0.5131,0.7389,0.2763,65
45,0.6652,0.3484,1.0209,0,65
46,0.7758,0.24,1.0215,-0.0006,65
47,0.9544,0.0651,1.0216,-0.0007,65
48,0.3003,0.7058,0.6648,0.3489,65
49,0.3521,0.6551,0.6877,0.3264,65
50,0.519,0.4916,0.7388,0.2763,65
51,0.629,0.3838,1.0209,0,65
52,0.9453,0.074,1.0215,-0.0006,65
53,1.0142,0.0065,1.0216,-0.0007,65
54,0.3804,0.6274,0.6646,0.349,65
55,0.4244,0.5843,0.6881,0.326,65
56,0.498,0.5122,0.739,0.2761,65
57,0.7626,0.253,1.0209,0,65
58,0.7782,0.2378,1.0215,-0.0006,65
