MSE_tensorflow,MSE_own_NN,R2_tensorflow,R2_own_NN,parameters_own_NN
0.3165,0.6824,0.69,0.3316,33
0.4355,0.6985,0.5734,0.3158,33
0.5259,0.7484,0.4849,0.2669,33
0.7111,0.7847,0.3035,0.2314,33
0.9002,0.8292,0.1182,0.1878,33
0.7866,1.1905,0.2295,-0.1662,33
0.308,0.6824,0.6983,0.3315,33
0.3952,0.6986,0.6129,0.3157,33
0.584,0.7485,0.4279,0.2668,33
0.7149,0.7847,0.2998,0.2314,33
0.8803,0.8291,0.1378,0.1879,33
1.0662,1.188,-0.0444,-0.1637,33
0.42,0.6822,0.5886,0.3317,33
0.3591,0.6989,0.6482,0.3155,33
0.6204,0.7487,0.3924,0.2666,33
0.6526,0.7847,0.3607,0.2313,33
0.7889,0.8288,0.2272,0.1882,33
0.903,1.1827,0.1155,-0.1585,33
0.3856,0.6822,0.6223,0.3318,33
0.4237,0.6997,0.585,0.3147,33
0.4817,0.7495,0.5281,0.2659,33
0.6486,0.785,0.3647,0.231,33
0.7904,0.8282,0.2258,0.1887,33
0.9283,1.1663,0.0907,-0.1424,33
0.4141,0.6828,0.5944,0.3312,33
0.4516,0.7032,0.5577,0.3112,33
0.5234,0.7531,0.4873,0.2623,33
0.7085,0.7867,0.306,0.2294,33
0.9034,0.8278,0.1151,0.1892,33
1.2949,1.1197,-0.2684,-0.0967,33
0.3973,1.0212,0.6109,-0.0003,33
0.437,0.719,0.572,0.2958,33
0.6208,0.7681,0.3919,0.2477,33
0.6989,0.7972,0.3154,0.2191,33
0.8274,0.8354,0.1896,0.1817,33
0.9326,1.0137,0.0865,0.0071,33
0.302,1.0212,0.7042,-0.0003,65
0.359,1.0212,0.6484,-0.0003,65
0.5115,1.0212,0.499,-0.0003,65
0.7291,1.0212,0.2858,-0.0003,65
0.7369,1.0212,0.2782,-0.0003,65
0.8471,1.0212,0.1703,-0.0003,65
0.2964,1.0212,0.7097,-0.0003,65
0.361,1.0212,0.6464,-0.0003,65
0.5202,1.0212,0.4904,-0.0003,65
0.65,1.0212,0.3633,-0.0003,65
0.7226,1.0212,0.2922,-0.0003,65
0.8251,1.0212,0.1918,-0.0003,65
0.6001,1.0212,0.4122,-0.0003,65
0.362,1.0212,0.6454,-0.0003,65
0.5364,1.0212,0.4746,-0.0003,65
0.601,1.0212,0.4113,-0.0003,65
0.7868,1.0212,0.2293,-0.0003,65
1.2004,1.0212,-0.1758,-0.0003,65
0.4454,1.0212,0.5637,-0.0003,65
0.3813,1.0212,0.6265,-0.0003,65
0.5252,1.0212,0.4855,-0.0003,65
0.6403,1.0212,0.3728,-0.0003,65
0.7992,1.0212,0.2172,-0.0003,65
1.2359,1.0212,-0.2106,-0.0003,65
0.3608,1.0212,0.6465,-0.0003,65
0.3652,1.0212,0.6423,-0.0003,65
0.5056,1.0212,0.5047,-0.0003,65
0.6258,1.0212,0.387,-0.0003,65
0.7436,1.0212,0.2717,-0.0003,65
0.9907,1.0212,0.0296,-0.0003,65
0.3071,1.0212,0.6991,-0.0003,65
0.4151,1.0212,0.5934,-0.0003,65
0.472,1.0212,0.5377,-0.0003,65
0.7031,1.0212,0.3113,-0.0003,65
0.828,1.0212,0.1889,-0.0003,65
1.1794,1.0212,-0.1552,-0.0003,65
0.3091,1.0212,0.6972,-0.0003,129
0.3874,1.0212,0.6205,-0.0003,129
0.5078,1.0212,0.5026,-0.0003,129
0.5977,1.0212,0.4145,-0.0003,129
0.8076,1.0212,0.209,-0.0003,129
0.9365,1.0212,0.0826,-0.0003,129
0.3467,1.0212,0.6604,-0.0003,129
0.3767,1.0212,0.631,-0.0003,129
0.4888,1.0212,0.5212,-0.0003,129
0.6398,1.0212,0.3733,-0.0003,129
0.7601,1.0212,0.2555,-0.0003,129
0.9127,1.0212,0.106,-0.0003,129
0.5764,1.0212,0.4354,-0.0003,129
0.3711,1.0212,0.6365,-0.0003,129
0.4901,1.0212,0.5199,-0.0003,129
0.6322,1.0212,0.3808,-0.0003,129
0.7456,1.0212,0.2696,-0.0003,129
0.9597,1.0212,0.06,-0.0003,129
0.3271,1.0212,0.6796,-0.0003,129
0.3572,1.0212,0.6501,-0.0003,129
0.4756,1.0212,0.5342,-0.0003,129
0.6166,1.0212,0.3961,-0.0003,129
0.7413,1.0212,0.2739,-0.0003,129
1.1155,1.0212,-0.0926,-0.0003,129
0.3062,1.0212,0.7,-0.0003,129
0.3769,1.0212,0.6309,-0.0003,129
0.497,1.0212,0.5132,-0.0003,129
0.6105,1.0212,0.402,-0.0003,129
0.7729,1.0212,0.243,-0.0003,129
0.9247,1.0212,0.0943,-0.0003,129
0.3737,1.0212,0.6339,-0.0003,129
0.3844,1.0212,0.6235,-0.0003,129
0.4925,1.0212,0.5176,-0.0003,129
