,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden
0,0.6451,0.3682,0.8494,0.168,129,32
1,0.8682,0.1495,0.9739,0.0461,129,32
2,0.8739,0.144,1.01,0.0107,129,32
3,0.9144,0.1043,1.023,-0.002,129,32
4,0.9815,0.0386,1.04,-0.0187,129,32
5,1.0068,0.0139,1.0502,-0.0287,129,32
6,0.5734,0.4384,0.8495,0.1679,129,32
7,0.8769,0.141,0.974,0.0459,129,32
8,0.8769,0.1411,1.01,0.0107,129,32
9,0.8965,0.1219,1.0229,-0.002,129,32
10,0.9413,0.078,1.0399,-0.0186,129,32
11,0.9848,0.0353,1.0502,-0.0287,129,32
12,0.5661,0.4455,0.8496,0.1678,129,32
13,0.8628,0.1549,0.9743,0.0457,129,32
14,0.8753,0.1426,1.01,0.0107,129,32
15,0.9025,0.1159,1.0229,-0.0019,129,32
16,1.0337,-0.0125,1.0399,-0.0186,129,32
17,1.1372,-0.1139,1.0501,-0.0286,129,32
18,0.6454,0.3678,0.85,0.1674,129,32
19,0.8726,0.1452,0.9752,0.0448,129,32
20,0.8751,0.1428,1.01,0.0107,129,32
21,0.9211,0.0978,1.0227,-0.0018,129,32
22,0.9758,0.0442,1.0397,-0.0184,129,32
23,1.0456,-0.0242,1.0501,-0.0286,129,32
24,0.5498,0.4615,0.8515,0.166,129,32
25,0.8579,0.1597,0.9778,0.0422,129,32
26,0.8736,0.1442,1.0102,0.0105,129,32
27,0.8995,0.1189,1.0222,-0.0013,129,32
28,0.9896,0.0307,1.0391,-0.0178,129,32
29,1.0169,0.0039,1.0498,-0.0283,129,32
30,0.6885,0.3256,0.8587,0.1589,129,32
31,0.8716,0.1463,0.985,0.0352,129,32
32,0.8746,0.1433,1.0106,0.0101,129,32
33,0.9361,0.0831,1.0208,0.0001,129,32
34,0.9878,0.0324,1.0374,-0.0161,129,32
35,1.0244,-0.0034,1.049,-0.0276,129,32
36,0.5552,0.4562,0.8888,0.1294,65,16
37,0.7984,0.2179,1.0197,0.0012,65,16
38,0.8733,0.1445,1.0337,-0.0126,65,16
39,0.9707,0.0492,1.0683,-0.0464,65,16
40,1.0015,0.019,1.1125,-0.0897,65,16
41,0.9865,0.0337,1.135,-0.1118,65,16
42,0.4949,0.5152,0.8891,0.1291,65,16
43,0.8694,0.1484,1.0197,0.0012,65,16
44,0.8667,0.1511,1.0337,-0.0125,65,16
45,0.936,0.0832,1.0682,-0.0463,65,16
46,0.9367,0.0825,1.1124,-0.0896,65,16
47,1.015,0.0058,1.135,-0.1118,65,16
48,0.5714,0.4403,0.8898,0.1284,65,16
49,0.8411,0.1761,1.0197,0.0012,65,16
50,0.8752,0.1427,1.0337,-0.0125,65,16
51,0.9478,0.0716,1.0681,-0.0462,65,16
52,0.9579,0.0617,1.1123,-0.0895,65,16
53,1.393,-0.3645,1.135,-0.1117,65,16
54,0.5372,0.4738,0.8923,0.126,65,16
55,0.8623,0.1554,1.0198,0.0011,65,16
56,0.8627,0.1549,1.0335,-0.0123,65,16
57,0.9322,0.0869,1.0676,-0.0457,65,16
58,0.9847,0.0355,1.1119,-0.0891,65,16
59,0.9225,0.0964,1.1348,-0.1116,65,16
60,0.4936,0.5165,0.9002,0.1182,65,16
61,0.8296,0.1874,1.02,0.0009,65,16
62,0.8642,0.1535,1.0331,-0.0119,65,16
63,0.9071,0.1115,1.0661,-0.0443,65,16
64,0.9574,0.0622,1.1106,-0.0879,65,16
65,1.2912,-0.2648,1.1343,-0.1111,65,16
66,0.4986,0.5116,0.9275,0.0915,65,16
67,0.8642,0.1535,1.0204,0.0005,65,16
68,0.871,0.1468,1.0319,-0.0108,65,16
69,0.9656,0.0542,1.062,-0.0402,65,16
70,1.0822,-0.06,1.1068,-0.0841,65,16
71,1.0599,-0.0382,1.1329,-0.1097,65,16
72,0.5493,0.4619,0.8635,0.1542,33,8
73,0.8336,0.1835,0.9828,0.0373,33,8
74,0.8736,0.1443,1.0195,0.0014,33,8
75,0.9264,0.0926,1.1752,-0.1512,33,8
76,0.97,0.0499,1.4132,-0.3842,33,8
77,1.0639,-0.0421,1.4903,-0.4598,33,8
78,0.466,0.5435,0.8636,0.154,33,8
79,0.8596,0.158,0.9828,0.0373,33,8
80,0.8647,0.153,1.0194,0.0014,33,8
81,0.9827,0.0374,1.1747,-0.1506,33,8
82,0.914,0.1047,1.4129,-0.384,33,8
83,1.1208,-0.0979,1.4902,-0.4597,33,8
84,0.5119,0.4986,0.864,0.1537,33,8
85,0.7763,0.2396,0.9829,0.0372,33,8
86,0.8813,0.1367,1.0193,0.0016,33,8
87,0.9578,0.0618,1.1736,-0.1495,33,8
88,0.9192,0.0996,1.4123,-0.3833,33,8
89,1.088,-0.0657,1.49,-0.4595,33,8
90,0.4972,0.513,0.865,0.1528,33,8
91,0.8447,0.1726,0.9832,0.0369,33,8
92,0.8723,0.1456,1.0187,0.0021,33,8
93,0.9866,0.0336,1.17,-0.146,33,8
94,0.9095,0.1091,1.4103,-0.3814,33,8
95,1.2185,-0.1935,1.4896,-0.4591,33,8
96,0.5047,0.5057,0.8684,0.1494,33,8
97,0.7674,0.2483,0.9841,0.036,33,8
98,0.8733,0.1446,1.0173,0.0036,33,8
99,0.9282,0.0908,1.1593,-0.1356,33,8
100,1.0132,0.0075,1.4041,-0.3753,33,8
101,0.9917,0.0286,1.488,-0.4575,33,8
102,0.4838,0.5261,0.881,0.1371,33,8
103,0.7834,0.2327,0.9867,0.0335,33,8
104,0.8484,0.169,1.0138,0.0069,33,8
105,0.932,0.0871,1.1313,-0.1081,33,8
106,1.1271,-0.104,1.3847,-0.3563,33,8
107,1.1143,-0.0915,1.4831,-0.4527,33,8
108,1.0058,0.0148,0.9612,0.0585,4629,32
109,1.0169,0.0039,1.0198,0.0011,4629,32
110,1.0198,0.0011,1.0209,0,4629,32
111,1.0194,0.0015,1.0212,-0.0003,4629,32
112,1.0203,0.0006,1.0221,-0.0012,4629,32
113,1.0282,-0.0072,1.191,-0.1666,4629,32
114,0.9955,0.0248,0.9613,0.0584,4629,32
115,1.0195,0.0014,1.0198,0.0011,4629,32
116,1.0213,-0.0004,1.0209,0,4629,32
117,1.0214,-0.0005,1.0212,-0.0003,4629,32
118,1.0204,0.0005,1.0221,-0.0011,4629,32
119,1.1315,-0.1083,1.1902,-0.1658,4629,32
120,1.013,0.0077,0.9614,0.0582,4629,32
121,1.0193,0.0016,1.0198,0.0011,4629,32
122,1.0202,0.0007,1.0209,0,4629,32
123,1.0191,0.0018,1.0212,-0.0003,4629,32
124,1.0199,0.0009,1.022,-0.0011,4629,32
125,1.0927,-0.0704,1.1885,-0.1642,4629,32
126,0.9873,0.0329,0.962,0.0577,4629,32
127,1.02,0.0009,1.0198,0.0011,4629,32
128,1.0202,0.0007,1.0209,0,4629,32
129,1.0222,-0.0013,1.0212,-0.0003,4629,32
130,1.0232,-0.0022,1.0219,-0.001,4629,32
131,1.0619,-0.0402,1.1832,-0.1589,4629,32
132,1.0144,0.0064,0.9636,0.0562,4629,32
133,1.0197,0.0012,1.0197,0.0011,4629,32
134,1.0215,-0.0006,1.0209,0,4629,32
135,1.0185,0.0024,1.0212,-0.0003,4629,32
136,1.0257,-0.0047,1.0216,-0.0006,4629,32
137,1.0895,-0.0672,1.1674,-0.1435,4629,32
138,1.013,0.0077,0.9686,0.0513,4629,32
139,1.0192,0.0017,1.0197,0.0012,4629,32
140,1.0212,-0.0003,1.021,0,4629,32
141,1.0209,0,1.0213,-0.0003,4629,32
142,1.02,0.0009,1.0212,-0.0003,4629,32
143,1.2228,-0.1978,1.1268,-0.1037,4629,32
144,1.011,0.0097,0.9449,0.0745,1211,16
145,1.0204,0.0005,1.0184,0.0024,1211,16
146,1.0199,0.0009,1.0206,0.0003,1211,16
147,1.021,-0.0001,1.0214,-0.0005,1211,16
148,1.0236,-0.0027,1.0411,-0.0198,1211,16
149,1.0326,-0.0115,1.3744,-0.3462,1211,16
150,1.0196,0.0012,0.945,0.0743,1211,16
151,1.0185,0.0023,1.0184,0.0024,1211,16
152,1.0208,0.0001,1.0206,0.0003,1211,16
153,1.0205,0.0004,1.0214,-0.0005,1211,16
154,1.0265,-0.0055,1.0409,-0.0196,1211,16
155,1.0369,-0.0157,1.3733,-0.3451,1211,16
156,1.022,-0.0011,0.9453,0.074,1211,16
157,1.019,0.0018,1.0184,0.0025,1211,16
158,1.0186,0.0022,1.0206,0.0003,1211,16
159,1.02,0.0009,1.0214,-0.0005,1211,16
160,1.0569,-0.0353,1.0405,-0.0192,1211,16
161,1.1834,-0.1592,1.3709,-0.3428,1211,16
162,0.9393,0.08,0.9463,0.0731,1211,16
163,1.0206,0.0003,1.0184,0.0025,1211,16
164,1.0226,-0.0016,1.0206,0.0003,1211,16
165,1.0205,0.0004,1.0214,-0.0005,1211,16
166,1.0228,-0.0018,1.0391,-0.0179,1211,16
167,1.3343,-0.307,1.3634,-0.3355,1211,16
168,1.0172,0.0036,0.9492,0.0703,1211,16
169,1.0209,0,1.0184,0.0025,1211,16
170,1.0188,0.002,1.0206,0.0003,1211,16
171,1.0215,-0.0006,1.0214,-0.0005,1211,16
172,1.0264,-0.0054,1.0355,-0.0143,1211,16
173,1.1955,-0.171,1.3408,-0.3134,1211,16
174,1.0215,-0.0006,0.9576,0.062,1211,16
175,1.0205,0.0004,1.0184,0.0025,1211,16
176,1.0218,-0.0009,1.0206,0.0003,1211,16
177,1.0202,0.0007,1.0214,-0.0004,1211,16
178,1.0225,-0.0016,1.0285,-0.0074,1211,16
179,1.0324,-0.0113,1.2793,-0.2531,1211,16
180,1.0207,0.0002,1.016,0.0048,325,8
181,1.021,-0.0001,1.0203,0.0006,325,8
182,1.0212,-0.0003,1.02,0.0009,325,8
183,1.023,-0.002,1.02,0.0009,325,8
184,1.0278,-0.0067,1.0208,0.0001,325,8
185,1.0199,0.001,1.0226,-0.0016,325,8
186,1.0197,0.0012,1.016,0.0048,325,8
187,1.0198,0.0011,1.0203,0.0006,325,8
188,1.0207,0.0002,1.02,0.0009,325,8
189,1.0219,-0.001,1.02,0.0009,325,8
190,1.028,-0.007,1.0208,0.0001,325,8
191,1.0509,-0.0294,1.0226,-0.0016,325,8
192,1.0168,0.004,1.016,0.0048,325,8
193,1.0176,0.0032,1.0203,0.0006,325,8
194,1.021,-0.0001,1.02,0.0009,325,8
195,1.0247,-0.0037,1.02,0.0009,325,8
196,1.0325,-0.0113,1.0208,0.0002,325,8
197,1.0777,-0.0557,1.0226,-0.0016,325,8
198,0.9775,0.0425,1.0159,0.0049,325,8
199,1.0198,0.0011,1.0203,0.0006,325,8
200,1.0241,-0.0032,1.02,0.0009,325,8
201,1.0208,0.0001,1.02,0.0009,325,8
202,1.0274,-0.0063,1.0207,0.0002,325,8
203,1.2474,-0.2219,1.0225,-0.0016,325,8
204,0.9984,0.0221,1.0158,0.005,325,8
205,1.0165,0.0043,1.0202,0.0007,325,8
206,1.0213,-0.0004,1.02,0.0009,325,8
207,1.0229,-0.0019,1.02,0.0009,325,8
208,1.0208,0.0001,1.0206,0.0003,325,8
209,1.0792,-0.0571,1.0225,-0.0015,325,8
210,1.0161,0.0047,1.0154,0.0054,325,8
211,1.0219,-0.001,1.0201,0.0008,325,8
212,1.0155,0.0053,1.02,0.0009,325,8
213,1.0208,0.0001,1.0199,0.001,325,8
214,1.0239,-0.0029,1.0204,0.0005,325,8
215,1.226,-0.2009,1.0222,-0.0013,325,8
