,model,batch_size,learning_rate,epoch,neurons,mse_all,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mse9,mse10,mse11,mse12,mse13,mse14,mse15,mse16,mse17,mse18,mse19,mse20,mse21,mse22,mse23,mse24
0,0.0,100.0,0.01,25.0,128.0,0.11273807320017924,0.00502853200939442,0.008765377044077169,0.0109850713030248,0.0177772877014933,0.006576916322768003,0.00990838959970999,0.011005700840858812,0.06785726075120561,0.05408768891884784,0.066866809464281,0.035977835543680836,0.028941786538706042,0.027356347555064862,0.031810017719512536,0.019766236658105715,0.020711028161833928,0.018758899974454245,0.015977931144312476,0.01041447930504609,0.027034775123565846,0.01284482734888461,0.013896227670352278,0.006411168487005269,0.00576919788741063
1,1.0,100.0,0.01,25.0,64.0,0.13045945346467033,0.011482241482626929,0.00955057294552244,0.024735767351310705,0.028091670440573153,0.010210051305048916,0.012201545988479123,0.011814537921912937,0.07414522402189584,0.07063383582059087,0.07861264483876307,0.05646123930793836,0.0440503970351188,0.03382623495560866,0.04657911417079758,0.03133648706301518,0.030098431504740782,0.03349635481994536,0.0318607968143355,0.010290042792019992,0.016395895608327774,0.016751675331744393,0.00978998384790193,0.0062845493535992804,0.009780707626825043
2,2.0,100.0,0.01,25.0,32.0,0.23832183340805915,0.04262692486232314,0.05680129365300803,0.07142515226745294,0.07609919100960753,0.036719050502294175,0.010346945782552481,0.008835069104402455,0.14431832312103443,0.16389884784301767,0.1760614847891261,0.13520920874327533,0.14475153876902733,0.16304553285255155,0.1651370702934263,0.12779647583891723,0.13703059653138827,0.10829434051087845,0.11439159562436249,0.04399184794889019,0.020433221245037013,0.021628341379864535,0.03048074020251014,0.05278947763917417,0.0332580866847083
3,3.0,200.0,0.01,25.0,128.0,0.11712375324706475,0.0036967015350242004,0.006481672188414706,0.016448496298984795,0.014016281452592884,0.008146296201143578,0.020362998467235292,0.013462623115396147,0.04513106930436187,0.04591613474284566,0.04857583667100818,0.03750121075875572,0.03099271835892699,0.028945087612988845,0.03433094596577372,0.021314502777834584,0.02647335374911909,0.028895765422874347,0.02607811507946281,0.009764783275303281,0.01975228459062331,0.014410523745823084,0.011044776648661304,0.006261707102279474,0.006065254777604574
4,4.0,200.0,0.01,25.0,64.0,0.15054378483195066,0.015168797235490595,0.016132639536082752,0.023576868945283283,0.030367017127086234,0.00952714679431278,0.006326848033488476,0.006302930098675549,0.08709822089263512,0.09645697581155088,0.11740982540588236,0.0555460297621061,0.0788242513978793,0.05430808979793116,0.06468621912354104,0.05063434047126968,0.05440575004885875,0.060503784725763114,0.06840074987964075,0.014758512747745924,0.010210246753554619,0.008708020509494789,0.009185681907983936,0.015449974917615903,0.008973561410307054
5,5.0,200.0,0.01,25.0,32.0,0.1442676257849965,0.01104180973631326,0.015462720089735316,0.022202998530102862,0.02647765656611219,0.010825592045084464,0.011004190381682865,0.008949809522374692,0.08065109166794059,0.07266467281976477,0.09041221791501884,0.0572324676617798,0.059780397664010734,0.06425023612800101,0.0652980689547861,0.04350537546228744,0.04546717838119354,0.04897236848898315,0.05542785141224923,0.015660643193648544,0.015135593612350739,0.01322307515206087,0.010824340820909405,0.01169361757143251,0.012786865677013464
6,6.0,300.0,0.01,25.0,128.0,0.14232971015331827,0.005078145914228859,0.006721525254909239,0.03190948027582502,0.023095145063895338,0.008254345332902093,0.00679299743948896,0.016381310048358452,0.053989185707251745,0.10538355943821996,0.1301523614272739,0.02507667297582722,0.09834207285981814,0.04932561458767649,0.06753877314736452,0.038354277663202485,0.044651288240894614,0.01761116623098669,0.01587061154705022,0.009597258886104689,0.03322209685915085,0.018453417107933308,0.01917530869670044,0.0066664962457228145,0.005589374713341661
7,7.0,300.0,0.01,25.0,64.0,0.12548916756034367,0.005508099719664909,0.01399974268911459,0.011828155885302416,0.01500119463838375,0.005881661928763711,0.013170611788133864,0.007103976754059859,0.056713043544009564,0.06004330906009628,0.07895176321668922,0.051852104784748096,0.03468068450801086,0.031288637381594354,0.049932003398348745,0.040101147299208086,0.058275559848534796,0.023623873870008177,0.02290966753778051,0.009613728349783371,0.018594286228582713,0.009660394171025136,0.008004259018224439,0.008045808897609101,0.011441309995520217
8,8.0,300.0,0.01,25.0,32.0,0.1290383396658279,0.005953963857442075,0.008408023326613074,0.014917551273376477,0.01864106232120555,0.008403911410682516,0.01310941743885346,0.011752084730749707,0.06183944158033821,0.05385674563849904,0.07450854113988822,0.04031462883582511,0.04524210012296078,0.03573601676025264,0.04520202000920094,0.03100847174332765,0.03200426549168657,0.04595381273382159,0.03933394879995424,0.012231879243395555,0.016103579411690182,0.013621597260137092,0.009355141170057334,0.01190540205212693,0.010968621655602527
9,9.0,100.0,0.001,25.0,128.0,0.11289683651175154,0.00446807970081775,0.004242727629505359,0.011689253176658412,0.01566198945307631,0.006563721089371331,0.019723116991093262,0.017719077804584926,0.04275040132674719,0.04647955973747854,0.045661226048985044,0.02879455373982825,0.02894442093167388,0.02242728294090902,0.03394204516208789,0.02110696169633685,0.025398900778640453,0.029555546176960386,0.018982911808732794,0.010096784733672542,0.021176184085958255,0.013478805090989292,0.008262112371844117,0.00619380865197765,0.006103849329075663
10,10.0,100.0,0.001,25.0,64.0,0.1221754199055231,0.007760964177260992,0.005391118554241961,0.01153432932891598,0.01421397026215222,0.006945920915659401,0.026627834943063852,0.013397254662142456,0.04781620351195913,0.05676117716450603,0.05754654137461775,0.03361646097596758,0.039119751008554436,0.03451984157624887,0.04551006512999816,0.02782646032382905,0.0252758800946948,0.04019975638905522,0.03061873281367116,0.009400049422026864,0.019294381349830105,0.010738099468470806,0.009895168296813422,0.007726405534934091,0.006692192345583836
11,11.0,100.0,0.001,25.0,32.0,0.12071741319957868,0.005830463790116577,0.00626465832607611,0.018022960925360893,0.008095025725558591,0.006005201128833104,0.0121513267883126,0.01812681912569929,0.04723224809164011,0.041401218793292734,0.05998053000097966,0.03574233120161915,0.04170748391593869,0.033481692306220494,0.035726962494712265,0.03859826863677034,0.02686730247881778,0.038859960100594,0.028841703194957116,0.010865840452746642,0.01503679058502764,0.013430806503405812,0.010171096335584185,0.008522014842911981,0.006898412960806955
12,12.0,200.0,0.001,25.0,128.0,0.11012504015344989,0.005704746722376718,0.005257514611407302,0.005360489095515241,0.004311276700054396,0.012377836178115298,0.03340374752152417,0.021063880716496428,0.02344950132247985,0.027695221185300708,0.0356451307590919,0.02876767413927831,0.01697800057762417,0.014070439783275733,0.026904015203988642,0.01907296305574584,0.020724901851263886,0.019190686955461878,0.026088659349676805,0.011404140239692925,0.026828842212608447,0.01839371667760707,0.01284014861152868,0.01005212318710867,0.009279541399090457
13,13.0,200.0,0.001,25.0,64.0,0.10885421282586209,0.0060068701873455714,0.004109800244623847,0.0063354149962077675,0.010283747125612672,0.00980460890405497,0.037127362447437105,0.020265196701874787,0.0198281616393102,0.02699871412167824,0.05273284400568396,0.013040574783982864,0.024307503964793403,0.023181451705900448,0.02515106545095839,0.01798882724951162,0.02114656322241433,0.024611034467002645,0.016411663856129112,0.010660157443620127,0.024534051473929692,0.021172018616856345,0.0126366613341263,0.0058020221125517114,0.0062883596636683844
14,14.0,200.0,0.001,25.0,32.0,0.15845782329721514,0.005929365052688056,0.013954449677812751,0.061272742423915574,0.02874591744187391,0.014981636689556472,0.03560213522311505,0.005639654082695352,0.05600219739855581,0.026340346041603704,0.10478860796126178,0.0716983437215363,0.08350331161152037,0.0927054407609514,0.11125069925489542,0.015738501981834054,0.10487969782468043,0.028492287777174607,0.016202757460098357,0.011981253922509984,0.015088752823871104,0.03806440343963235,0.01828503744613942,0.05651883071102503,0.006994551271997464
15,15.0,300.0,0.001,25.0,128.0,0.11096840762060056,0.005086316113632274,0.005815001594967773,0.007404443366858084,0.009093680441913261,0.008297924808247788,0.017787909902034438,0.01200652802647057,0.027465788316990973,0.04276519343117451,0.040646466681898336,0.028136673499569977,0.03272388372360268,0.023401416697262676,0.039816215488854105,0.02163170742542495,0.025100891148133016,0.026493426059697477,0.017243716240496143,0.009079754381828899,0.017752218084777956,0.02169603120402181,0.010083418836316744,0.006161376074931136,0.006464191623900226
16,16.0,300.0,0.001,25.0,64.0,0.11481671031271772,0.010575565432951503,0.004312987756546288,0.005463807325671093,0.01520217693524806,0.0067683008525440186,0.019125562823788037,0.021443568696502373,0.035501836783210755,0.037419452471765514,0.05362937318137953,0.023565282741863623,0.01694275173998802,0.033284893132374586,0.03548396183829773,0.01791072942136833,0.023256580809673064,0.032172268013628526,0.021501126105411168,0.011911625124723619,0.028347305795898836,0.014331143969652285,0.010949616049678309,0.006272585992662296,0.007343642908223921
17,17.0,300.0,0.001,25.0,32.0,0.13982735172285596,0.028199709265895764,0.01439765060547173,0.018012895821970496,0.05038277088355177,0.006835543449480546,0.0071478327632324475,0.0063124415649584,0.13317577991742005,0.07531663350349804,0.11797933720619724,0.03528992227756473,0.057449423792344884,0.01999231684745005,0.07069575718467473,0.013710639051851768,0.014811858168839835,0.08725796327632497,0.02217913039304917,0.009678343371103319,0.01368013603458562,0.008919776134644872,0.01955073224766402,0.005990218038520927,0.007407746576200245
18,18.0,100.0,0.0001,25.0,128.0,0.10750596931070328,0.005787407762404884,0.0047938354749658485,0.004533162333947217,0.004339604373853269,0.01037980947880362,0.0371040831848998,0.036749229052775875,0.019966157431036552,0.03042212408679458,0.03465958063540473,0.017158301212677713,0.012863234525040167,0.011093413798084385,0.0228880638898319,0.020931748754399522,0.017079709041374357,0.015742604106966946,0.01502959540070921,0.011633039535387028,0.03066635851129306,0.020334067872269303,0.02902610040374602,0.007639200442576645,0.008069777908307341
19,19.0,100.0,0.0001,25.0,64.0,0.26092063097611423,0.04246528301813615,0.047847068411576286,0.06621247067436627,0.10321836412095695,0.036809151835991136,0.011212772612358927,0.01832654348717362,0.17346039072600924,0.16218952848270773,0.16455683398646676,0.17633204761596538,0.20816103259406632,0.1500335211106281,0.21039641306533516,0.1297865967969296,0.12854907939980886,0.13913648615340501,0.14738838133002585,0.05464703056039384,0.02449725437739531,0.035132392286050404,0.04741913774794217,0.05773339153028706,0.04777990976765531
20,20.0,100.0,0.0001,25.0,32.0,0.27360691359984673,0.05750570068727435,0.062062929937260515,0.13483440084431522,0.09301685782493738,0.04010579243164308,0.0179712776821915,0.010553986329400513,0.12091165100143662,0.18145549246795442,0.2529000614681031,0.1787477208601771,0.17790145106872352,0.08787989792986634,0.15361518076585973,0.15708346901358541,0.16939693600766145,0.13465133638828178,0.15778056942165905,0.08574676486113407,0.07125150704214106,0.022373307168735066,0.07001028565168639,0.044009855038791755,0.0486924401713832
21,21.0,200.0,0.0001,25.0,128.0,0.2581923801035683,0.05609717636323414,0.0631995669719363,0.05073206588615863,0.105882257547654,0.05115274336369522,0.016335332176764923,0.016124149802316353,0.18471080086767364,0.15528867124975707,0.20418653595614936,0.1753727749019273,0.15154716481321948,0.13920447573573358,0.14358699316669452,0.13647485406373952,0.12061310988521541,0.14427327080240196,0.13647971447841464,0.050646110490670325,0.019414027216208513,0.02870572384060344,0.04172598896141034,0.05787438825651049,0.04909090134692678
22,22.0,200.0,0.0001,25.0,64.0,0.2802802899885574,0.05867021516454883,0.05842896205378128,0.10566056416322696,0.13802741590849138,0.03747758158373565,0.013868055253225951,0.022556821009327658,0.17613362025503865,0.2145720693791651,0.21125113652830488,0.2161751318391293,0.17364504110148535,0.14657614252960952,0.1314092350092151,0.14832823687671226,0.2423261482474364,0.16578135125660937,0.14125228798070313,0.05661400659095605,0.02576012026874846,0.0330345016980592,0.05928055458019954,0.06335325476720814,0.053157479283699294
23,23.0,200.0,0.0001,25.0,32.0,0.30445301435207056,0.06679434525346788,0.22125720330201978,0.13105224816958663,0.07381297921144109,0.06012328758520287,0.01698299646973689,0.020282981109623333,0.22551467306668602,0.1179382491399139,0.18630738590544346,0.35003393921162873,0.2029743520856965,0.22877156693183032,0.20080617739613918,0.13539264060010991,0.20011487365764685,0.1649346198164623,0.2132178544996959,0.05204903007957787,0.02805376425500276,0.027176654186093063,0.049254381531928716,0.08895694757237121,0.08232658283768673
24,24.0,300.0,0.0001,25.0,128.0,0.2754006153826982,0.049927779958317056,0.0688731935056359,0.096180975571241,0.10593195745032476,0.04817556177104799,0.014668830267749705,0.01672822099089523,0.18577654665987464,0.2039362517315381,0.20433308417996687,0.17827356104505387,0.17929402498845667,0.1435295983213032,0.1792156272349401,0.16133880681713153,0.15103742371237017,0.12651007336867204,0.13261353269800122,0.07137378961907202,0.02250170728677576,0.02393757035194387,0.04885026249992549,0.057461100069077294,0.07451192882735706
25,25.0,300.0,0.0001,25.0,64.0,0.27621564380199765,0.022705145050413586,0.07127807026058058,0.09924420564244696,0.09934090201163875,0.03012758788611187,0.022400089862496052,0.02002898312719145,0.1587291465078775,0.2543420161218302,0.23640376518107575,0.1685883632077815,0.16982064958519655,0.20586028296787492,0.14986361184442662,0.13061036555514216,0.11283810151084375,0.1435665371507962,0.181653332796672,0.10052582594601246,0.02733729155220083,0.032133022153116544,0.05002452537209727,0.06759201999164068,0.06578499482735457
26,26.0,300.0,0.0001,25.0,32.0,0.3356836631107871,0.09993526773139257,0.0920527256596391,0.13422165124002522,0.0923995526569634,0.13015291713162802,0.021144745607739962,0.02469547954004155,0.23656865841476282,0.22186300595712197,0.21780344302104376,0.2157387848406474,0.23686518592922426,0.22299660576348512,0.1892250653002816,0.31737442211328454,0.2330953004607157,0.17480103177737696,0.21441072350962448,0.11619652193768927,0.039156068472738614,0.0367199758518808,0.03955297733601843,0.22567491070718912,0.07817710421517819
