,model,batch_size,learning_rate,epoch,neurons,mse_all,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mse9,mse10,mse11,mse12,mse13,mse14,mse15,mse16,mse17,mse18,mse19,mse20,mse21,mse22,mse23,mse24
0,0.0,100.0,0.01,25.0,128.0,0.06479742443141788,0.0020835054750279153,0.00921015497500062,0.004802214610336308,0.004609193396598584,0.004591003524508473,0.005267044589736974,0.006832784401807531,0.013522629140112688,0.009733511837861992,0.012298017585246129,0.014108435607888575,0.024351246938661062,0.01033095136326371,0.010947691287658162,0.01310157015029912,0.016587370350174612,0.01963047066343763,0.01316212747218627,0.01030079954140232,0.009185965892565432,0.00918114472084821,0.008668485679570613,0.007674864279352348,0.005869095952717761
1,1.0,100.0,0.01,25.0,64.0,0.08316528798835114,0.0025313043541272074,0.00449354173533627,0.009461885584853176,0.011505509629514729,0.007351375206922701,0.02309249080694258,0.0087195392661227,0.019635458721342505,0.028432310572589437,0.033406081494104276,0.00888982262021708,0.023856467784991557,0.01621521131429394,0.01762463939046207,0.015470140775826145,0.015395472663007151,0.022660671120612687,0.02602682573876451,0.008508966977684423,0.008486756700141415,0.007154256445233134,0.007148514390973479,0.005906893798191188,0.005619592441168083
2,2.0,100.0,0.01,25.0,32.0,0.11540200603472177,0.00863247838661984,0.007970087388790717,0.011224815889114014,0.019898052544270593,0.0102173854264609,0.024110618002343574,0.015641664682722208,0.03851067133174505,0.024884667202508218,0.0634004247446959,0.03123267700222679,0.037371744340602704,0.029563343131716432,0.04415612658477607,0.03953859087821912,0.0323818275477641,0.03552180870678214,0.03255737306880459,0.010506911584780952,0.009183034599550237,0.009933526006711614,0.007829257786625538,0.007776731794418602,0.009507071319931218
3,3.0,200.0,0.01,25.0,128.0,0.06978813347236715,0.003119458980604134,0.007427495203714941,0.008209456360152054,0.005818727539632046,0.008788690342204832,0.0070597448126544825,0.00822726525256591,0.010507276349186627,0.006735418672031825,0.012913710456281395,0.016729802906563063,0.015141040214981721,0.009962404009577468,0.01177101814021829,0.017986439358518066,0.015539929617381763,0.01965823802008944,0.015732782962061792,0.011631724161254525,0.00838816390632222,0.008008465350116017,0.008261190152988103,0.008204692408474296,0.008749659737756179
4,4.0,200.0,0.01,25.0,64.0,0.08796294529246969,0.003068897437288487,0.004552770887890795,0.00835002666395831,0.00854004172694943,0.00956287299173948,0.03685577436668948,0.015688222770871056,0.023781968036686,0.019110584708285996,0.02741539274561046,0.015213697525269645,0.016502751984099156,0.01578047825896984,0.016551432872034744,0.01379900493649337,0.016714314295150554,0.0236931873331079,0.01664177305196624,0.008614719072191438,0.011762366521167926,0.009119835383525433,0.006401958374207844,0.007190182805393703,0.006841270947166744
5,5.0,200.0,0.01,25.0,32.0,0.09982292107439672,0.004583036892647857,0.009683995953946867,0.008394437485795055,0.012561038612509205,0.00857949802516115,0.009087860442937492,0.013328383136100578,0.03903945161533517,0.035161763111648967,0.05383613366625599,0.02149358025076678,0.025330801251927975,0.02851936985802985,0.02963313275570627,0.01833824187209998,0.032711371990628325,0.01953156480564407,0.02432124611098815,0.009720227285251829,0.012715201370872634,0.008801037889424332,0.006112891093109696,0.006725505054385311,0.005351375383403019
6,6.0,300.0,0.01,25.0,128.0,0.09096509528465173,0.003878528296988217,0.008366065190761019,0.01221001521793042,0.011957017403420043,0.012151404061604086,0.016638705086515947,0.018714630812358853,0.027834979079677524,0.03478794158016647,0.04640078622356727,0.009960563879888602,0.0158926012120655,0.007977925245029166,0.017535663183377254,0.012358137822819502,0.014951416750698932,0.023829561882909796,0.014907420992339205,0.009246778089640192,0.013376015417473264,0.008661764722325408,0.006818403868299884,0.008844488713983155,0.005326268864293997
7,7.0,300.0,0.01,25.0,64.0,0.10373351388570883,0.0028290258507552898,0.005162615796284769,0.009570364737344616,0.010409192102523314,0.008457012668678024,0.015719425972237997,0.024788004684539018,0.030205721689023815,0.045525902649870956,0.04756475914302028,0.01841851394116497,0.025173221022392982,0.027712809461459643,0.025958679999798645,0.016674796621072383,0.01974357005227704,0.0300545715106145,0.01865824174088226,0.008171087654343453,0.019603907837688582,0.013371371141661615,0.007070599163002756,0.005407198367410576,0.006302069814385857
8,8.0,300.0,0.01,25.0,32.0,0.1116895270384745,0.00416488979504238,0.003515986562261521,0.018831585258744635,0.018584096386227867,0.006798407957090786,0.011879277330784144,0.011090486163782201,0.02768606783080192,0.03949745383170319,0.059333039455240426,0.023517397980821666,0.032548854417079484,0.04569401599366603,0.030178829033566095,0.02336168940268789,0.03487728868566253,0.024732274202424024,0.024814393879735653,0.008034599772980912,0.01723022145248682,0.009681992797969458,0.0072240622287309385,0.007454948781119145,0.0055540131003476104
9,9.0,100.0,0.001,25.0,128.0,0.09348682840451894,0.004069739375429406,0.00543477311259875,0.009329615069094672,0.011723142089372963,0.010915744511297768,0.021330622659479395,0.024174447145800537,0.014929495144221833,0.01278649391139542,0.03277907273694822,0.010222340178514571,0.013952034679774726,0.011499384226472991,0.022315883941262837,0.01591369837180066,0.023744214649753858,0.0339094490183202,0.030906779304170576,0.009395455377265447,0.00902255393562738,0.008925957187830635,0.007327350536099294,0.01238106686306893,0.007787593786565898
