,model,batch_size,learning_rate,epoch,neurons,mse_all,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mse9,mse10,mse11,mse12,mse13,mse14,mse15,mse16,mse17,mse18,mse19,mse20,mse21,mse22,mse23,mse24
0,0.0,100.0,0.01,25.0,128.0,0.2616437161935809,0.05675052983741721,0.06510088219438943,0.08935232889038343,0.08429351640548295,0.037433747931403416,0.017715868910087782,0.021204801424857513,0.16620444085813468,0.1800558538957081,0.213184653774354,0.1690592274594755,0.16845034597017444,0.15125435045416571,0.170312876294958,0.15004093447276304,0.13995098633145778,0.14765019662332848,0.14757474031264772,0.06110905436738554,0.02688417156900587,0.0350377433820705,0.039348003447482335,0.0615276205328941,0.05248183872724067
1,1.0,100.0,0.01,25.0,64.0,0.13993091958838155,0.008193766415358208,0.01371987734842191,0.03218524586811051,0.032538813470060934,0.01380802262826943,0.006535194693332421,0.008471379744882261,0.0852976208891866,0.07190536685784299,0.09242152930363713,0.0898155475828405,0.07609650366572959,0.05759475916422846,0.07613636306708328,0.05869958702277266,0.056086850685246374,0.03682435562925663,0.04907934267100986,0.010661304388394969,0.007755035920059895,0.009721160571522882,0.00697200622750335,0.010682481260006472,0.0076006105917229725
2,2.0,100.0,0.01,25.0,32.0,0.16233156939376156,0.013267660261967436,0.006171845952876136,0.018198899680561733,0.03557303628584211,0.010204590043038947,0.004603041833065362,0.01072641609363512,0.10334783723850542,0.08679526949192942,0.1277030039708093,0.0871822328111589,0.09820491819546483,0.1066782206095237,0.10050906517927607,0.08469392853247991,0.07488980551128237,0.06688323791611099,0.06941152740235026,0.01550826815311487,0.011519486844284403,0.010755278197627779,0.012367750519790829,0.013128168373183056,0.010010454901225568
3,3.0,200.0,0.01,25.0,128.0,0.21380332359751422,0.016141845933875864,0.02188844989971215,0.05522004809107122,0.05495726134743856,0.02652283886596945,0.014561646311705272,0.012320262956826618,0.1386569160116022,0.09367975613664888,0.14050982086496597,0.10699709613917402,0.11580135870600737,0.14371897945257614,0.12247625035792203,0.11576908349407235,0.12988050814382285,0.12635360814879731,0.14436931135341602,0.045210182455103685,0.011937943415446189,0.013769734943529337,0.02778181869210684,0.05433886418025573,0.012734153121199885
4,4.0,200.0,0.01,25.0,64.0,0.24604015231388487,0.0485528046085859,0.06460807684448822,0.0604125139457307,0.06279960937971156,0.029807601858653884,0.016741289745418428,0.02198027783024931,0.16223493094859642,0.14478631304293554,0.17538932587679382,0.13267504827908924,0.1809670491980707,0.17421002175921682,0.1584399928213752,0.12685874016246246,0.12396577911538373,0.1534728017957564,0.16661158102175344,0.05356938396585078,0.026083827612556572,0.021997114657517462,0.03548828059586281,0.04137917470205418,0.03638944641366011
5,5.0,200.0,0.01,25.0,32.0,0.14673636732611842,0.008084024936898582,0.014594352927482113,0.0347952349419823,0.029259388947589005,0.014539410953408091,0.0071218103412747915,0.005420013076473041,0.08797118947315963,0.08849791419132724,0.11825307791108512,0.07464623253244058,0.07023853879014773,0.0718345256167025,0.06886516891462552,0.04911333866432101,0.06094990776999757,0.04786686212654069,0.051062697762458774,0.013482924461364714,0.009088085884381309,0.009670774696441935,0.009376054604681933,0.01489713908281851,0.009949319396314918
6,6.0,300.0,0.01,25.0,128.0,0.274351456822254,0.0628182038821486,0.0731293605389093,0.0924701699250973,0.09903928546313263,0.04119637460749147,0.021782501778604364,0.023506659799999163,0.1862022262686543,0.19071969740440778,0.2185294722512846,0.1768177366574949,0.1779087535009254,0.16534351748513784,0.18226789534002202,0.14865268902510637,0.15020223163321153,0.15809859594545717,0.15722987832009744,0.06529611451880375,0.03188556261373464,0.03869679874297429,0.04621801482166063,0.06291635140367592,0.058153366538501935
7,7.0,300.0,0.01,25.0,64.0,0.16047605596536588,0.015435363598885171,0.03570183341355981,0.02165743785559917,0.04213253668487664,0.005804612347085304,0.006194221245057847,0.008352768575772544,0.08356205023988578,0.08678605597329807,0.10647709225151362,0.08672839377000326,0.08828638277878938,0.060644325346788125,0.10041168414467735,0.06962495590030293,0.05525307942773318,0.05063913902575926,0.06170704808766129,0.025721226239673052,0.008711168060449555,0.009458517864456117,0.006200018337987725,0.012648945263412852,0.014529723761083895
8,8.0,300.0,0.01,25.0,32.0,0.17479115122811587,0.013166437468756322,0.028438741205236782,0.057479319189222916,0.037174189018575825,0.023862383908938415,0.008472379391774199,0.006016372284104048,0.10354051270437942,0.12265587542098523,0.14226150364592272,0.09211161348876713,0.08824444020792171,0.08858814370323508,0.08305210245788802,0.06157939923787357,0.08814626845673425,0.05921200986394731,0.07551314862736558,0.015829928340031645,0.012122002149539696,0.010271009338296985,0.007020227021847932,0.015556996007752706,0.011509169990500698
9,9.0,100.0,0.001,25.0,128.0,0.12102254234976907,0.026216065228463804,0.011134002416736455,0.042364178555513145,0.012725084866110788,0.005769964280525342,0.0044684623897780565,0.007437761036743928,0.04131217780575113,0.04819865964410921,0.05687189536560972,0.038705035065268956,0.035845009818427254,0.02215849033979235,0.0397646503486769,0.036036505963415906,0.031000736250228936,0.042003110925249894,0.035043676037314724,0.01937878070930804,0.009420568615945164,0.016914689324731072,0.009713491552655886,0.009508937528642996,0.013176259632395593
