,model,batch_size,learning_rate,epoch,neurons,mse_all,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mse9,mse10,mse11,mse12,mse13,mse14,mse15,mse16,mse17,mse18,mse19,mse20,mse21,mse22,mse23,mse24
0,0.0,100.0,0.01,25.0,128.0,0.030514796577305756,0.0013579091455835786,0.0016069477079747087,0.0015396960664970257,0.00158668871690357,0.0026271236451585645,0.004795349459813432,0.004394389342797364,0.0018242573446630988,0.0014944219330787066,0.001317147764724405,0.0013519201415654906,0.0014976252111654441,0.0016852293989425842,0.002430997276803489,0.0034002755421847592,0.003494713644392753,0.0028203072423603533,0.0026813425026215184,0.004548741690270584,0.0072314955172229755,0.0061449731623762225,0.004679902771730583,0.002924702245560115,0.002940158238855813
1,1.0,100.0,0.01,25.0,64.0,0.04553167957751771,0.002372060482708721,0.0034173273844965925,0.004878272041779043,0.0038588691421082067,0.005050839710733995,0.007383374928352337,0.008341662259493461,0.003158546575329513,0.002374215691606899,0.0028469022330043624,0.0022348165863634926,0.0022874873030914716,0.0020387617765973576,0.00270833385551398,0.003008357231296024,0.003802646967406473,0.0033002226343639843,0.0038361612014181363,0.007070213881388053,0.010681583372220423,0.008891653532837914,0.009823188391962489,0.004417500517034577,0.004685869166495115
2,2.0,100.0,0.01,25.0,32.0,0.03797026118249571,0.0022622515261954456,0.0019260918192798811,0.0021823526705780695,0.0030046294976255913,0.00434317493261888,0.0085734641297832,0.005030349632772732,0.0028614088346615428,0.002928317426623397,0.0019869969238573504,0.0018070556792085595,0.0025178540732542247,0.0018710292395834574,0.002337422240374663,0.003034358151328944,0.0033159459725529087,0.0031693714787686717,0.0030203325076576986,0.005329153834629577,0.00807929010211232,0.00798489489930364,0.005749580560617633,0.0034071317705946986,0.004492405972278055
3,3.0,200.0,0.01,25.0,128.0,0.0339694241367769,0.001615497556104556,0.0020421294321140092,0.0018976497317843243,0.00271011727488914,0.003402871156746523,0.005320933768519074,0.005805319661583902,0.0019703112930716323,0.0020108211752764104,0.0016587778699113463,0.0012114407161949547,0.00136482416178968,0.0020866485482801227,0.0021689294989129955,0.0033316811282969212,0.0032711815672685925,0.002823402462234301,0.0028874640604760653,0.004596871239466508,0.007762355126931782,0.006642135654899014,0.005616343386890969,0.0035744811006811292,0.003033903808279845
4,4.0,200.0,0.01,25.0,64.0,0.03175893470859826,0.0012648183641361733,0.0012798672830283892,0.0016377913463009569,0.0015461326341258221,0.002421014500572174,0.004956207097525713,0.004006307343594107,0.0023223175354466054,0.0019546283263153726,0.0017150772067840994,0.0018103041753224018,0.0017245518006608971,0.001959419591966432,0.0027104594526002317,0.003460872104929533,0.003764731500502875,0.0030250627833770666,0.002892606737788007,0.004522238448247816,0.006821132000677001,0.006565239424872729,0.004588436689285591,0.003635042074556895,0.0030127986292756226
5,5.0,200.0,0.01,25.0,32.0,0.03623417327481485,0.002730204492351204,0.002128150024053353,0.0022985935617703527,0.0020876218290956945,0.003283643197840595,0.007183971595691481,0.004911112687588279,0.0023212326130118777,0.0024572728171045563,0.0013683704399522576,0.0014500278321051812,0.0018989536732869144,0.0018692650573388521,0.0024867250786148325,0.003031791182138919,0.003262381464647275,0.0029097799700479048,0.003065124152591257,0.005307861394471076,0.007456865616805386,0.0076518688673825296,0.0072884645176989156,0.00413681195030678,0.0038534550086040684
6,6.0,300.0,0.01,25.0,128.0,0.03095239995610691,0.0020985889518667093,0.0014012297394479568,0.0014367333238942304,0.0022535991156505063,0.002256562284786776,0.004281633121113393,0.004563140888853695,0.0013696452269957497,0.0014738795737385675,0.0012625574740119257,0.0013157452714924226,0.001482476530433216,0.001803925335739811,0.002551904926462688,0.003423112038972371,0.0035152061519033726,0.0027877989813368826,0.003019222868871698,0.0045523492126981315,0.007017548877939085,0.005280739964047255,0.004632108553846621,0.0031019183078974406,0.002963719485513795
7,7.0,300.0,0.01,25.0,64.0,0.041391901991873585,0.0024323138542165796,0.002153134319614067,0.0037835012654348125,0.005354163763480336,0.004162066523751941,0.007764053854083296,0.00541078584246575,0.001978193011766604,0.0024101391139028237,0.0018449282635893077,0.002232597801279547,0.0016706374681716798,0.001994526378535017,0.002214146658552901,0.0030126847801675433,0.0037638140082898253,0.004084161823538809,0.004151186821495123,0.006055827465620763,0.008960821675048561,0.00885468743456831,0.007991945694980906,0.003477104908218901,0.0041483808088341075
8,8.0,300.0,0.01,25.0,32.0,0.09066264996474001,0.009324305953977957,0.011021673633626206,0.00970939176458054,0.00909983884992407,0.012531039599419336,0.021838684729135225,0.02118063717561905,0.01139918571277353,0.01380659089178238,0.008301702951243285,0.008306459798908317,0.011536591003709504,0.004620212929234582,0.007438004999654541,0.007678868343515486,0.007262374326675009,0.007566409156907187,0.008298722221872718,0.013714981790093655,0.023402835096465627,0.021064641470089837,0.020946168746297986,0.013713075424258881,0.013319708477587669
9,9.0,100.0,0.001,25.0,128.0,0.030250425207724394,0.0012918682562043122,0.0013305766304637784,0.0012451620970380915,0.001340331055635697,0.002740935612345147,0.0043162639926113446,0.0040979423934877504,0.0016980641499697907,0.0016291821736516316,0.0016041152286355718,0.001778987941926605,0.002088087807127616,0.002269000347443693,0.0029185229287976497,0.003974479762202186,0.0042037245207879855,0.0033647458530322093,0.002949219094531382,0.0043181592892866435,0.006932860931100363,0.0060828703125146094,0.004633398638629883,0.0032298072083374735,0.0031333004861535153
