,model,batch_size,learning_rate,epoch,neurons,mse_all,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mse9,mse10,mse11,mse12,mse13,mse14,mse15,mse16,mse17,mse18,mse19,mse20,mse21,mse22,mse23,mse24
0,0.0,100.0,0.01,25.0,128.0,0.0513961006075748,0.0017052332416989152,0.003681923795253291,0.004826897260485414,0.0049701385231179784,0.0033826938958139265,0.004271073057219421,0.005636849702668492,0.006877825710289848,0.007637091925458866,0.004997169623849274,0.008339914144547475,0.006870773871050364,0.007542071197318912,0.011061767352527894,0.012050497266306743,0.013340858053113965,0.015196173647318158,0.013051479683098216,0.008225047023297462,0.007387295650774929,0.0072168839260929795,0.006088016204894334,0.00577240298657408,0.005628248173146719
1,1.0,100.0,0.01,25.0,64.0,0.07107028067858882,0.002282599797002288,0.008731649756329106,0.018105293269294248,0.006615447420517152,0.008391393455784057,0.00882230927234572,0.012771407394234319,0.01172820907619966,0.01613582564591039,0.02790139848520785,0.008755078496505404,0.01681221177589206,0.012019023227163762,0.009910315559514549,0.012145367134708476,0.013992103965943253,0.014707923648347762,0.01444288038616357,0.009800680894236477,0.007526174659337167,0.00816714195183758,0.006165403416557135,0.006648124465206181,0.00623634519201568
2,2.0,100.0,0.01,25.0,32.0,0.07900343705426822,0.0028110160741320576,0.01196395333245514,0.01274773470833557,0.012389696587648517,0.012591301075454434,0.0160801870070188,0.021783960275483804,0.011583317286582274,0.015750964341412873,0.02959797081488555,0.01739109965992499,0.01485808990551696,0.009285917137409385,0.01303982742411519,0.015521073648446787,0.014786854003077714,0.01690167779001016,0.014266328437682127,0.008890006374206307,0.008664587549847695,0.007283972373768588,0.007162168502162455,0.006512135343153504,0.006344318185441625
3,3.0,200.0,0.01,25.0,128.0,0.07320562853239339,0.0016036313673460732,0.006525579228997654,0.00734586475251551,0.005113839597106411,0.010105973267928095,0.030438418847922186,0.023336080382938322,0.008167167565024551,0.010830952322475757,0.014120131847562152,0.006018922572780738,0.007345833498292063,0.008206178737742587,0.012322633388363384,0.01551346341578143,0.017471651416340182,0.015621118923039174,0.014239178271206968,0.014227424130058154,0.011098041298257168,0.011668592785476394,0.009262741715611398,0.007826694804209715,0.006197691565421178
4,4.0,200.0,0.01,25.0,64.0,0.09049230740437797,0.002399120586426223,0.006546396395746543,0.01012179616484409,0.015673908497760822,0.009886406939919226,0.026125567842457138,0.021642972956541714,0.024231479117251653,0.02035484787761223,0.027971342780924908,0.009836618871389008,0.011326406154497357,0.01162713601545067,0.019801930071179103,0.015416243464391735,0.019136087851727705,0.019725624210673632,0.01802211771534199,0.011162040991496298,0.014401205467020237,0.012756778150745067,0.008867083165214779,0.012731005570115061,0.006054448545075098
5,5.0,200.0,0.01,25.0,32.0,0.08815918780974878,0.0032749633953906084,0.005126793468713582,0.0073163064997713665,0.009150772585490982,0.01670523412120882,0.028369397609421372,0.034944910765566856,0.018993684333122044,0.02204172187104486,0.023531828353147526,0.01110158795762046,0.010793178807731646,0.011153782604723416,0.017851542330023923,0.013992328386396326,0.0159774764882789,0.027469447611749017,0.018885484675460938,0.010240788254242652,0.014154055185398971,0.010391378273479187,0.006493178285535676,0.008063994090552714,0.011650196904607765
6,6.0,300.0,0.01,25.0,128.0,0.08930222600896698,0.0018899847540712101,0.004723752363341843,0.0133915308952019,0.0049801247914123044,0.016534637912372366,0.02889718652160709,0.022953771576537652,0.017261835682099744,0.026109258931443776,0.02129958541756905,0.008591430189359947,0.019584229103364145,0.00928637259021894,0.012970066200478324,0.01521951534689799,0.01682082759202398,0.016921447987311277,0.018404558358003694,0.01283195219587813,0.01704379497293581,0.015272924418798645,0.009790980847078653,0.007735990146003833,0.007967822635164552
7,7.0,300.0,0.01,25.0,64.0,0.09497103739641442,0.0021531505449915874,0.008585520555401547,0.009325959031907942,0.011708626539977719,0.012256391236652852,0.016064481247276694,0.017971276030298786,0.018915818464972787,0.03698842980418182,0.03646199372849513,0.013345942401052505,0.015582745258694347,0.01409867522962058,0.0205523740353759,0.014869427302660894,0.02018410344423163,0.018633532623788567,0.01554682293843458,0.012974361718015515,0.0201293595078378,0.019703517236381207,0.007905052620360948,0.0068927835364018765,0.008062160695583343
8,8.0,300.0,0.01,25.0,32.0,0.10984907059471512,0.004142433157002944,0.003964380734380226,0.007333904586834443,0.009333792788130433,0.009496795215153772,0.016564993098094373,0.015831256486302684,0.035598160069105295,0.03796591007446826,0.039167358349526234,0.019434098355100897,0.03284286519902758,0.023624661379379446,0.035176597428383055,0.022812400153509563,0.027762393987047954,0.022099282312355903,0.025753728310820664,0.00873076419334397,0.0220956121986972,0.01832968837314573,0.00829539258592578,0.006280836573468931,0.00629140299762607
9,9.0,100.0,0.001,25.0,128.0,0.08623023187051859,0.004500578417113562,0.004715882477853273,0.006557123842010813,0.0037199641058401657,0.02048237581230772,0.030034044002155594,0.032973941855346134,0.008414165707197377,0.008321209582761356,0.02218792105614989,0.007189413605116205,0.00931856092687343,0.008819426899492926,0.015579718857361355,0.020765534492084806,0.021598569559137047,0.03159518610958139,0.023175231563729505,0.009775700200538936,0.009294892962020199,0.009395418362291618,0.007971491858315053,0.015064272627739366,0.007508210878642265
