,model,batch_size,learning_rate,epoch,neurons,mse_all,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mse9,mse10,mse11,mse12,mse13,mse14,mse15,mse16,mse17,mse18,mse19,mse20,mse21,mse22,mse23,mse24
0,0.0,100.0,0.01,25.0,128.0,0.09223925043952012,0.010969323044559989,0.016022811006464684,0.011408569428907592,0.012599172716140953,0.034009008340933906,0.02088927659299664,0.023203769590924656,0.018597755664273265,0.009007106917442359,0.011475348291984598,0.007622758729198553,0.008365947763425833,0.013645183488380643,0.011825863298181678,0.011845002678445625,0.009834025464799428,0.013924762590400526,0.01054482094073295,0.01913400947453933,0.020103455882331468,0.02579642578413015,0.0187255780684355,0.021385993877056433,0.01746099549557312
1,1.0,100.0,0.01,25.0,64.0,0.029450124735978054,0.0003740586698395876,0.0005858186329327637,0.0007766356888979851,0.0013771554693550348,0.0027976479692857757,0.004619583889526704,0.003819170698374232,0.0017526465958497472,0.0016804294218949899,0.0018383642606823172,0.0017654427156828566,0.0019019558189186769,0.0021759937597491184,0.002541700807449474,0.00437279096539552,0.0036985919281666293,0.0031683594964075673,0.0028821020215519136,0.004366505387830933,0.006538056120609167,0.005715445549751353,0.004277147284689632,0.002877638996122119,0.0029455713161794825
2,2.0,100.0,0.01,25.0,32.0,0.03015658791955446,0.0005271167461148892,0.0004951498129645483,0.0005560134136004059,0.0008005117203344097,0.001741324573183118,0.004111959794094277,0.004644784255961065,0.002169856873668995,0.0017984044271440315,0.0018363464518000318,0.0025121470221901093,0.001962007724793653,0.002602276271522652,0.0026977260400077364,0.0035746819605464394,0.004185151339731777,0.0030834011729041167,0.002964526923631079,0.004348980353554326,0.007629449849476521,0.006011133858730058,0.004308220069867756,0.0030867786632142583,0.002779715724107406
3,3.0,200.0,0.01,25.0,128.0,0.1443748837022094,0.02765056051372595,0.027042065822537504,0.027020703138027652,0.028791793221886287,0.03352393343366289,0.03735119869910774,0.038163845530976494,0.031023802896914185,0.028705471668901413,0.02596720271163651,0.023247228610668306,0.021961903807500186,0.022669661538140984,0.02198940768150813,0.019882468003773402,0.020509213331811778,0.023856909450598086,0.026865692096652447,0.0322656013242783,0.04109328202443563,0.038018511548344236,0.03567407140503255,0.03202813909160357,0.02990409677733305
4,4.0,200.0,0.01,25.0,64.0,0.0317538470712217,0.0005806849224676479,0.0009280130342600018,0.0012861789822403717,0.0012902529520630146,0.0020286932131280333,0.004555622921889598,0.004226531648790857,0.0023209172254774163,0.0018890164913008191,0.001983657456951871,0.0022316895385090835,0.002568601563357219,0.002373643566558784,0.00253286978619979,0.003179133233032151,0.00413937687471798,0.003395335930913765,0.0032677405866514643,0.004536924784469568,0.006757583085448922,0.006516121500796321,0.004833558549691453,0.0028712795278456886,0.0031136646840827665
5,5.0,200.0,0.01,25.0,32.0,0.03296430763938169,0.0008931048432874096,0.001645272793831925,0.001194776921741629,0.00100822936614591,0.002220278067823967,0.005854840543044914,0.004269553230834093,0.0019196322688537475,0.0017847527933872497,0.0026218811662340642,0.001805063467751211,0.0019616893889666527,0.002072046586707245,0.0023780202785843745,0.0036880598279955762,0.0038647740058137944,0.003297754172134003,0.0029595827891981084,0.004604427242189358,0.006843215403941554,0.006144182874099005,0.005842783951052487,0.0028143601585812563,0.002816093135934475
6,6.0,300.0,0.01,25.0,128.0,0.15538253479732284,0.03132374151753184,0.02902193821151448,0.026607645052149003,0.03333391685101982,0.03426956096119204,0.04347705680924491,0.0403615190867691,0.031095574927123136,0.031775156166999954,0.02773621478877078,0.027577828569507745,0.028094766874810256,0.025322034962366832,0.02574703726365502,0.022979245732153028,0.023823480269057604,0.028887880854296312,0.03596585800046554,0.03611356884638115,0.04338618295449745,0.040667338106334605,0.041184747603754825,0.0353160858402592,0.033869767673462926
7,7.0,300.0,0.01,25.0,64.0,0.030216679172505635,0.0007212521552102204,0.001051929356629597,0.00071076375796772,0.0012328678473437044,0.0017097120375021925,0.0036826310682049374,0.0036329099352699432,0.0018149970660304429,0.0019919161154011633,0.001660728733527293,0.0020951699682463755,0.0028037429181911517,0.0025798429322155866,0.0030418714297686814,0.0035444516011582197,0.0041867509199534,0.003197464860678128,0.0037388382628916346,0.004718046464733671,0.00684199052146305,0.006280935997830283,0.004603959965793256,0.0031600891531088932,0.0030202359498155943
8,8.0,300.0,0.01,25.0,32.0,0.03014956346217366,0.0004513496252531215,0.0011615869357808153,0.0006261761760433951,0.0009518614665331281,0.002408520812598751,0.0035616914174323097,0.004348804410840905,0.00176348879158105,0.0023856604012407446,0.0021760775496687296,0.0021057651294757256,0.0020315463086222115,0.0020945141679310393,0.0026935837252099653,0.0049149575801075715,0.004850420214040952,0.0032375924627349546,0.0030237878475835632,0.004471223338355875,0.00694181301405997,0.005418971389943306,0.003964088429859986,0.0029102112806641154,0.002981387023732875
9,9.0,100.0,0.001,25.0,128.0,0.03108472618932691,0.0009182453604582317,0.0008584401313599982,0.0009970829159137913,0.0015686607006399574,0.0023356998916161512,0.0041117693157088735,0.0036710088119422065,0.0014412234696331305,0.0016424727267266026,0.0019039127366085947,0.0017722517477677486,0.001698871830997294,0.0020390394323491668,0.00291792405831103,0.004083779141593505,0.004156980612666438,0.0033419820211622584,0.003349220006895984,0.004518345356469104,0.006598744160371575,0.008128540928172496,0.004874480017136224,0.002678842279795784,0.0029376138142701924
10,10.0,100.0,0.001,25.0,64.0,0.03868377632887878,0.0012548632507831876,0.0012914413211507578,0.0005804345556498281,0.0027254704320740014,0.003465590424896483,0.004806714739728701,0.008384129230443769,0.0021686305236393874,0.002960468043713599,0.001834961113206525,0.0016634062228766372,0.00207385526586046,0.0026762081369414814,0.004130152413450285,0.0031487593581597012,0.003571245189316829,0.0035034104048725697,0.004557732177741542,0.004979504697263315,0.007273473895480798,0.013974397482862336,0.004698966286694867,0.004141436292112974,0.006038814681318573
11,11.0,100.0,0.001,25.0,32.0,0.05098101649870079,0.004182755600221983,0.0033148033414532227,0.01570096862423054,0.003792429345190857,0.01072969327496174,0.0053044493081215935,0.006353962406751219,0.0031822378182104734,0.0018649497472508368,0.004439809230778931,0.0017411689092970402,0.003479389909094298,0.006513170342061373,0.003424735133336054,0.0032010317426016776,0.004101451713947462,0.004272196769863685,0.0038487371608463047,0.008377616029242712,0.0072922943681787145,0.01069262940369936,0.016783924008929224,0.006507398749325863,0.005348188496119821
12,12.0,200.0,0.001,25.0,128.0,0.03817283026615998,0.0018383983775984254,0.0012924047028835442,0.0010966840142172688,0.002378099038200075,0.0030779415815119435,0.006884414760256787,0.00784054351243578,0.0035627135061321565,0.0017424001732458728,0.0020023677224739883,0.002259489773509804,0.002805630373566722,0.0022283211445201737,0.0024369930061323582,0.005669363271927154,0.004020560771247803,0.0033348574974348204,0.006436399202279067,0.0050044160113324205,0.008287850013710006,0.006350666479615788,0.0044370788769237356,0.0038932910787889425,0.004226752477498601
13,13.0,200.0,0.001,25.0,64.0,0.04481064946647345,0.004047767811634974,0.001747243958334819,0.004139930926148193,0.0011967359966936833,0.005834360131584783,0.0046395449690146105,0.003947654756121719,0.0023190978438191417,0.003131500200488686,0.00229048340548979,0.006291701436024459,0.0034210647601058833,0.004291336307715213,0.0026566394578239217,0.004285102740937823,0.0036055728102920006,0.0049043671842346525,0.00748683192244246,0.0070107721849542734,0.008652237931314123,0.0054046151804264435,0.005684930859589648,0.007853278499222172,0.006972160436200941
14,14.0,200.0,0.001,25.0,32.0,0.0482879028068535,0.0017201035345482069,0.0026043433961752366,0.005338256660979314,0.003424904275730317,0.004013527168933976,0.005747804397643781,0.004980123315044159,0.007307043016275247,0.01124238926130433,0.00914990414879212,0.0017182464148657762,0.003675426583969155,0.002860200904340622,0.002467936569375163,0.0035523840915227902,0.004077330097855265,0.007819236537525791,0.004360438504620233,0.004504623631548012,0.008478875976975084,0.01041273135180822,0.006009625430176448,0.007223703255954545,0.005433247687027422
15,15.0,300.0,0.001,25.0,128.0,0.03968446458644229,0.003407309517184916,0.0010542145657155605,0.002985126900915979,0.0032849636891492387,0.002240067194600296,0.007468959457843803,0.0067794469076291235,0.004875595627110977,0.0024023000940106764,0.002452772657076281,0.0031460602036236787,0.002340832497572669,0.002771790821150921,0.0019963121160814445,0.003995261769399065,0.004688586108610392,0.0032336889967415814,0.0030161193444354717,0.006659951044062012,0.006834015627231575,0.007664647137578759,0.007426378751803981,0.005776764636658473,0.004491496794280231
16,16.0,300.0,0.001,25.0,64.0,0.04272815380968766,0.0017308901670738369,0.0026048793403724265,0.0018408761770869384,0.004329313578174682,0.0022040830153897714,0.009598680706481452,0.011098212310018977,0.00406545799831196,0.003078810950061842,0.003790219113476984,0.002394579998151801,0.0049372147333180015,0.005355989540805922,0.0033098984210762207,0.004667840824191453,0.00426208352562929,0.003380152058820953,0.004408554039379274,0.004934869113696284,0.00657956613373485,0.007271724790897228,0.005491548197226765,0.003045016712181448,0.0030502510950487292
17,17.0,300.0,0.001,25.0,32.0,0.04276384125203205,0.0021338247987892516,0.0017721170849347612,0.0010469159471968466,0.002581218508014112,0.00848390827074179,0.0056636008382267965,0.006887696329491537,0.0023375535250066315,0.002280874010090933,0.0017871876155284578,0.0036297911460034743,0.0044653753055656255,0.0028451880163607316,0.0027262147029387643,0.005262928350511246,0.00603056073768388,0.0031526410266338053,0.004341344012833415,0.004674225712908265,0.007056169066166429,0.012728947610341896,0.008570190418114751,0.003543674044115665,0.004632890573316375
18,18.0,100.0,0.0001,25.0,128.0,0.05221262387263331,0.003255077425066514,0.00173718459105372,0.008518440023896545,0.002167091990332365,0.006928514737979642,0.01243891920821944,0.008170750666101873,0.005924417763087728,0.0035058739794701895,0.00425465326129631,0.00915030802793043,0.002925205130616655,0.002545182448770007,0.0033988446897202772,0.004360287808458096,0.0035702237243598455,0.005667351930940391,0.00424618228061363,0.009626664797441857,0.00857085126324723,0.017330784906341476,0.009489767084833978,0.00860539976877809,0.005130090753879743
19,19.0,100.0,0.0001,25.0,64.0,0.058487191480409574,0.03327939328611388,0.0037163297914324764,0.005782718713591224,0.005712798983493408,0.0030003296030182733,0.01175965315396756,0.006059713569772766,0.002537419729457532,0.0037761600826087486,0.0035773724625596335,0.0024368574527097796,0.0017434324948409174,0.003982857841261336,0.002938502528249003,0.004418709438836957,0.005489567051896394,0.003501607905544267,0.006162926862193469,0.009643483545713486,0.02187065310401838,0.01386735139274566,0.02123769376162019,0.006513557966999159,0.012169444402357598
20,20.0,100.0,0.0001,25.0,32.0,0.09930569039586008,0.02428957372236641,0.006800999792903011,0.028860292318876823,0.004029937395754879,0.0133840504240557,0.005121990624501622,0.028365194490982543,0.009090550838347445,0.03231145171863068,0.0024307339929918945,0.01033637128917527,0.0033809659331651915,0.018031429316023823,0.017561097947492874,0.04030846986740123,0.028431789380867677,0.004623092663570978,0.003796608394724578,0.0092658433994841,0.033588012005422045,0.014236232773042189,0.042441716529802304,0.02842696566544972,0.009667980504709225
21,21.0,200.0,0.0001,25.0,128.0,0.07380829106970184,0.004354514814947538,0.002598233368698997,0.004946130826545636,0.007767904384878842,0.026412081764836864,0.01827337691482088,0.01315676971053976,0.010700238184507292,0.013664999262866387,0.004020658619059191,0.005261492507875607,0.007432772019151163,0.005242900329060353,0.0034403880088219197,0.026646675581127346,0.004321702784390847,0.005087587167125609,0.0041431233122123205,0.014306776681995332,0.01220222309096293,0.017691766162737467,0.03254765660543151,0.012441359601763636,0.00916165974205012
22,22.0,200.0,0.0001,25.0,64.0,0.09991045159118139,0.03889587322059028,0.0031613952828935974,0.01109897201535724,0.03759255077606191,0.009145117124109842,0.020363623141761128,0.0786854394808354,0.028459077860015867,0.028466412442618005,0.010327639307790754,0.025954955011589887,0.01150577192099091,0.003215623201438727,0.013613358622127108,0.011937632265140757,0.007144156845149719,0.01891857644269122,0.015184541664213269,0.0048509252433560565,0.01117264207853485,0.006833872884216152,0.014751744982403132,0.014454851043871909,0.013625064228772675
